12/7/2024 15:04 น.,SA, D06,BPBPBPBBPBPBPBPPBPPBPPPBTPBBBPBBPPPBTTPBPPBPPPPTBPB
12/7/2024 15:14 น.,SA, D07,BBBPPPBTBBBPPPBTPPBTPPTBPBPPPPTBTBBPPPPBBPBPPPTBBPPPBPP
12/7/2024 15:19 น.,SA, D02,PBPBPPBBPPBPBBBPTPBBBPPPBPPBPPTPPPPPBPBPPBPTPBPBBBPBBBBBB
12/7/2024 15:31 น.,SA, D08,BBTBTPBPPPTPBBBBBPTTPBPBBBBBPPTPBBPPPPBBBBPBBPBPPBPBPBBPPBPP
12/7/2024 15:31 น.,SA, D01,PBPPBPTBBBTBPBPPPBBPPPPPBBBTBBBPBBTBBBBBPBPPPBBPPPBBPTP
12/7/2024 15:36 น.,SA, D05,TPPPPPBPTBBBPBBPBPPPPPBBPPBBPPBTTTBPBPPPTBPPPBPPBTPBPB
12/7/2024 15:49 น.,SA, D04,BBTBBBBPTBBPPBBBPBPPPBPBBBTBBBTBTPBBPBPPBPBPBPBBPPPBTPPBP
12/7/2024 16:01 น.,SA, D06,BBPBPPBPBBBBBBBBTBBBTPBPBPPBBTBPPTBPTBTBBBPBBBPBPPPPBBBPTBP
12/7/2024 16:14 น.,SA, D02,PPPTPBBTBBBPBTPPPBPBPPTPPPPPBPPBBBBPBBBPBPBPBTBPPPPBBBP
12/7/2024 16:15 น.,SA, D08,PBPPPBBBBPPPBPBBPPBBBBBPPBPBBBPBBTPBPBTPPPPBPBBBBTPBBBB
12/7/2024 18:03 น.,SA, D03,TPBPPBPTPPPBPPBBPBBBPBBPBBPPBPBBPPBPPBPBBTPPBBBBPPTPBBBPBBB
12/7/2024 18:05 น.,SA, D07,PBPPBBBPBPBBBBBPPTBBPBPPTPPBPPBPBPPPBPPBPBPBPPTBBPBPPBTBPBBB
12/7/2024 18:24 น.,SA, D01,PBTBTTBBTPPBPBBBPBTPBPPPPBBPTPPPBPBBBTPBBBBBPPBBPBBPBBBBBBP
12/7/2024 18:39 น.,SA, D05,BBPTPPPPBBBBBBPBBPBPBBBTPPBPBPPBTBPBBBTPPBPBPBBPBBBBPBPPBBB
12/7/2024 18:41 น.,SA, D04,BTBBBBBPBPPBBBPTTTBPPBBTBBBBBPPBPPBBPPBBBPPBPPTPPBPPBPPTB
12/7/2024 18:42 น.,SA, D06,PBPBBBBBBTPPPBTPPPBPPBBPPPPPPPBTPBBTBPPBBBTPBPBPPPPPBBTPBTBB
