before,dragon_rider,after,length,color
PPBPBP,BBBBBPPBBBBBBBBB,PBBPPB,14,B
BBPPPB,PPPPPBBBPPPPP,BBPBBP,10,P
BBPBBB,PPPPPBPPPPPP,BBBPBP,11,P
BPBBBB,PPPPPBPPPPP,BBBPBB,10,P
PPBBBP,BBBBBPBBBBB,PBPPBP,10,B
BPPBPP,BBBBBPBBBBBB,PBBPBB,11,B
BPBBPB,PPPPPPPBBPPPPPP,BBPBBB,13,P
BPBPBB,PPPPPPBPPPPP,BPPBPP,11,P
PPBPPB,PPPPPPBBPPPPP,BBPPBB,11,P
BPPBBP,BBBBBPBBBBB,PPPPBB,10,B
PPBBPB,PPPPPBBPPPPP,BBPBPB,10,P
BPBPBP,BBBBBBPBBBBBB,PPPPPP,12,B
PPPBPP,BBBBBBPPBBBBBBBB,PBPPBB,14,B
PPBBPP,BBBBBPBBBBBB,PPPPBB,11,B
BPBPPP,BBBBBPPPBBBBBB,PBPPPP,11,B
BBBBPB,PPPPPPBPPPPP,BBPPPB,11,P
BPPBPP,BBBBBBPBBBBBBB,PPBPPB,13,B
BPPPBP,BBBBBPPBBBBB,PPPPPB,10,B
PBBPPP,BBBBBBBPPBBBBB,PBPPBP,12,B
PPBPBP,BBBBBBPBBBBBB,PPPBBB,12,B
PPPBBB,PPPPPPBPPPPP,BPPBPP,11,P
BPBPPB,PPPPPPPBPPPPP,BPBPBB,12,P
BPBBPP,BBBBBPPBBBBB,PBPBBP,10,B
BBPBBP,BBBBBPBBBBB,PPPBBB,10,B
PPBPBP,BBBBBBPBBBBBB,PBBPPP,12,B
BPPPPP,BBBBBPBBBBB,PPPPBB,10,B
BBBPPP,BBBBBBPBBBBB,PPBBBB,11,B
PPPPBP,BBBBBBPPBBBBB,PBBPBP,11,B
PBPBBB,PPPPPBBPPPPP,BPBPPB,10,P
PBBBBP,BBBBBPPBBBBBB,PBBPBP,11,B
PPPPPP,BBBBBBPBBBBB,PPBBBP,11,B
BBBPPP,BBBBBPBBBBB,PPBBBB,10,B
BPBBBP,BBBBBBBPPBBBBB,PBBPPP,12,B
PPBPPB,PPPPPPBBPPPPPPP,BBPPPP,13,P
BPPBPB,PPPPPBBPPPPP,BBBBBP,10,P
BBPPPB,PPPPPBBBPPPPPP,BBBBPP,11,P
BBBBBB,PPPPPPBPPPPP,BBPPBB,11,P
PPBBPB,PPPPPBPPPPPP,BPPPBP,11,P
PBBPBB,PPPPPBPPPPPPPP,BBPPBB,13,P
BBPBPB,PPPPPBBBPPPPP,BPPPBB,10,P
