before,dragon_rider,after,length,color
PBBBPP,BBBBBBBPPPBBBBBBB,PPPPPP,14,B
BBPBPP,BBBBBBPBBBBBBBB,PPPBPP,14,B
PPBPPB,PPPPPPBPPPPPP,BBBPBB,12,P
PBPBPP,BBBBBPBBBBB,PBBPPB,10,B
PPBPBB,PPPPPBPPPPPP,BPBPPP,11,P
BPBBBB,PPPPPPPPBPPPPP,BPBBBP,13,P
BBBPPP,BBBBBPPBBBBB,PPBPBB,10,B
BPBPBB,PPPPPBBPPPPP,BPBPPB,10,P
PBPBBB,PPPPPBPPPPPP,BPPBBP,11,P
PBBBPP,BBBBBPBBBBB,PPBPPB,10,B
BBPPBB,PPPPPBBBPPPPPPPPPPP,BBBPPP,16,P
BPBPPB,PPPPPPPBPPPPP,BBBPBP,12,P
BPBBPP,BBBBBBPBBBBB,PBPBPB,11,B
PBBPPB,PPPPPPBPPPPP,BPPBBP,11,P
BPBBPP,BBBBBPPPBBBBBB,PBBBPP,11,B
BPBBPP,BBBBBBPBBBBBB,PPPBPP,12,B
BBPPPB,PPPPPPPBBBPPPPPP,BBBPBP,13,P
PBPBBP,BBBBBPPPBBBBBBBB,PPPPBB,13,B
PBPBPB,PPPPPBPPPPPPP,BBBPBP,12,P
PPBPPB,PPPPPPPPPPBPPPPPPP,BPPBBB,17,P
PBBPBB,PPPPPPBBBPPPPP,BPBPPB,11,P
PBPBPP,BBBBBBPBBBBBBBB,PPPBBB,14,B
BPPBBB,PPPPPPBPPPPPP,BPPBBP,12,P
BBBPPB,PPPPPBPPPPP,BBBBBP,10,P
PBBBBB,PPPPPBBBPPPPPP,BBPBPP,11,P
BBPBPB,PPPPPPBBPPPPP,BBBPBP,11,P
PPPBBB,PPPPPPBBPPPPPPP,BBPPPB,13,P
BBPBBP,BBBBBBBPPPBBBBBB,PPPPPB,13,B
BPBBPP,BBBBBPPBBBBBB,PPBBPB,11,B
PPBBPP,BBBBBPBBBBBBB,PPPPBB,12,B
PBPPBB,PPPPPBBPPPPP,BBPBBP,10,P
BBBPPB,PPPPPBBPPPPPP,BPBPBP,11,P
BBPPPB,PPPPPPPBBPPPPPP,BPPPBP,13,P
PPBPBP,BBBBBPBBBBBB,PBPBBP,11,B
BPPPBP,BBBBBPPBBBBBB,PBBPPB,11,B
PPBPPP,BBBBBPBBBBB,PBBBPP,10,B
BBBPBP,BBBBBPPBBBBBBB,PPBBPB,12,B
BBBBBB,PPPPPBBBPPPPPPP,BBBPBP,12,P
BBPBPP,BBBBBPBBBBBB,PBBBPP,11,B
PBPPBB,PPPPPBPPPPP,BPBBPP,10,P
PBPBBB,PPPPPPPPPPBBPPPPPPPP,BPBPBB,18,P
BPPPPP,BBBBBBBBPPBBBBBB,PPPBPB,14,B
PPBPBP,BBBBBBPBBBBBBB,PBBPPP,13,B
PBBBBP,BBBBBPPBBBBBBBB,PPPPBB,13,B
BBPPBP,BBBBBBPPBBBBBB,PBPBBP,12,B
BPBBPP,BBBBBPPBBBBB,PPBPPP,10,B
BBBBBB,PPPPPPBPPPPPP,BBBPBP,12,P
PPPPBP,BBBBBBBPBBBBB,PBPPPB,12,B
PBBPPP,BBBBBPPPBBBBB,PBBBBB,10,B
PBBBBB,PPPPPBBBPPPPPP,BBPBPP,11,P
BBBBPB,PPPPPBBBPPPPPPPPP,BBBBPB,14,P
PPPPPP,BBBBBBBPBBBBBB,PPPBBB,13,B
PPPBPB,PPPPPPBPPPPP,BBBPPP,11,P
BBPPPB,PPPPPPPBBBPPPPPPPPP,BBBPPB,16,P
BPBPBB,PPPPPPBBPPPPP,BPBPPB,11,P
PBPPBP,BBBBBBBBBBBBBBPBBBBB,PPPPBP,19,B
BBPBPB,PPPPPPBPPPPP,BBPBPB,11,P
PBPBPP,BBBBBBPBBBBB,PBBBPB,11,B
BBPPBP,BBBBBPPPBBBBBB,PBPBPB,11,B
PBPBBB,PPPPPBPPPPP,BBBBBB,10,P
PBBBPP,BBBBBBBPPBBBBB,PPPBPB,12,B
PPPPPP,BBBBBBBPBBBBB,PPPPPB,12,B
PPBBPP,BBBBBBBBBPPPBBBBB,PPPBPP,14,B
PBBPPB,PPPPPPBPPPPP,BBBBBB,11,P
PBBBPP,BBBBBBBBBPBBBBB,PPBPBP,14,B
BPPBBP,BBBBBBPPBBBBBBB,PBPBPB,13,B
BPBPPP,BBBBBBPPBBBBB,PBBBPB,11,B
BBBBBB,PPPPPBPPPPP,BPPPBB,10,P
PBBBPP,BBBBBBBBPBBBBB,PPPPPB,13,B
PBPPBB,PPPPPPPPPPPPPBBPPPPPP,BPBPPB,19,P
PBBBPP,BBBBBPPPBBBBB,PBBBPB,10,B
PPBPPB,PPPPPBBPPPPP,BBBPPB,10,P
PBBBPB,PPPPPBBBPPPPPPP,BPPBPP,12,P
BBPPPP,BBBBBPPPBBBBB,PPPBBP,10,B
BBPPBB,PPPPPBBPPPPP,BPPPPB,10,P
BPBPBB,PPPPPPBBPPPPPPP,BPPBBB,13,P
BBPBPP,BBBBBBPBBBBB,PPBBPP,11,B
PPPBPB,PPPPPBBPPPPPP,BBBBPP,11,P
PPBBBP,BBBBBBBBPBBBBBB,PBBPPB,14,B
PBPBBP,BBBBBPPPBBBBB,PBBPBP,10,B
BBPPPB,PPPPPBPPPPP,BBBBBB,10,P
PPBPPB,PPPPPPBBBPPPPP,BBPPPP,11,P
BPPPPB,PPPPPBPPPPP,BPPBBB,10,P
BPPBBB,PPPPPBPPPPP,BBPPPP,10,P
BPBPBB,PPPPPPBPPPPPPP,BPBBPP,13,P
PBPBBB,PPPPPBPPPPPP,BPBPPP,11,P
PPPPBP,BBBBBBBBBBBPBBBBBBB,PPBBBP,18,B
PPBBPP,BBBBBPBBBBBBBBB,PPPPBB,14,B
PBBPBP,BBBBBPPPBBBBBB,PPPPPB,11,B
BBBPPB,PPPPPPPPBBBPPPPPP,BBBBPP,14,P
PBBPBP,BBBBBBPBBBBB,PBPBBP,11,B
PPBBBP,BBBBBBBBBBBBPBBBBBB,PBPPBB,18,B
PPBPPB,PPPPPPPBBPPPPP,BBBPBB,12,P
BPBBBP,BBBBBPPPBBBBBB,PBPPPB,11,B
BPPPBB,PPPPPBBBPPPPPPP,BPPPPB,12,P
PPBBPB,PPPPPPPPBPPPPPP,BPPBBP,14,P
PBPPPB,PPPPPPBBPPPPP,BBBBBP,11,P
BBBPPP,BBBBBBPBBBBB,PBPPPP,11,B
PPBBPP,BBBBBPBBBBB,PBBPBB,10,B
BPPPPP,BBBBBPPBBBBB,PBBPBP,10,B
PPBBBP,BBBBBBBPBBBBB,PBPPPB,12,B
BPPBBB,PPPPPPBBPPPPPP,BBPPBB,12,P
PBPPPB,PPPPPBBPPPPPPPP,BBBPPB,13,P
PBBBPP,BBBBBBPBBBBB,PBPBBP,11,B
BBBBPP,BBBBBBPPBBBBB,PBPPBP,11,B
BPBBBP,BBBBBPPBBBBB,PBBPBB,10,B
PPPPBP,BBBBBPPBBBBBB,PPPPPB,11,B
PBPPBP,BBBBBPPPBBBBBB,PPPPBB,11,B
PPBPBP,BBBBBBBPBBBBB,PPPBBB,12,B
PBPBPP,BBBBBBBBBPBBBBB,PPPBBB,14,B
BPPBPP,BBBBBPPPBBBBB,PPPPBB,10,B
BPBBPP,BBBBBPBBBBB,PPPBPP,10,B
BBBBPP,BBBBBBBBPBBBBBB,PPBBBP,14,B
PPBPPB,PPPPPBBPPPPPP,BPBBPB,11,P
PPBBPB,PPPPPBPPPPPP,BPPBPB,11,P
PBPPBP,BBBBBPBBBBBB,PBBPBB,11,B
PBBBPB,PPPPPBBBPPPPPP,BBBPBP,11,P
BBBPPB,PPPPPPBBPPPPP,BPPBPP,11,P
BBPBBB,PPPPPPBPPPPPPPP,BBPBBB,14,P
PPPBBP,BBBBBPBBBBB,PPBBPP,10,B
BPBPPB,PPPPPBPPPPPPPPP,BBBPBP,14,P
BPPPPB,PPPPPBBPPPPP,BBPPBB,10,P
PBBPBP,BBBBBBPBBBBBB,PPPPPP,12,B
BBBPPB,PPPPPPBBBPPPPP,BPBBPP,11,P
PBPPBB,PPPPPBPPPPP,BBPPBB,10,P
PPBBPP,BBBBBBPPBBBBB,PBBPBB,11,B
BPPBBB,PPPPPBPPPPP,BPPPBB,10,P
BBBPBB,PPPPPBPPPPPP,BPBPBB,11,P
PPBBPP,BBBBBPBBBBBB,PBPPPB,11,B
BBPPBB,PPPPPPPBBPPPPP,BPBBPP,12,P
PBBBBP,BBBBBPBBBBB,PBBBBB,10,B
PBBPPB,PPPPPBPPPPP,BPBBBP,10,P
PPBBPB,PPPPPBBPPPPPP,BBBPBB,11,P
BPPPPP,BBBBBBPPPBBBBB,PPPPBB,11,B
BPBBBP,BBBBBBPPBBBBB,PBBPPP,11,B
BBPPPP,BBBBBPBBBBB,PPBBBP,10,B
PPBBBP,BBBBBBPBBBBBB,PPPBBP,12,B
PPBBPB,PPPPPPPBBPPPPPP,BPPBBP,13,P
PBBPPP,BBBBBBBBPBBBBB,PPPBPB,13,B
PBBBBB,PPPPPBBBPPPPPP,BPPPPB,11,P
BPBBBP,BBBBBBBPBBBBB,PPBPBB,12,B
BBPPPP,BBBBBPPPBBBBBB,PBBBBP,11,B
PPBPPP,BBBBBPBBBBBBB,PBBBBB,12,B
BBBPBP,BBBBBPPBBBBBBB,PPPBBP,12,B
PPBBBP,BBBBBBPPBBBBBB,PPPBBP,12,B
PBPPPB,PPPPPBPPPPP,BPBBBB,10,P
BBPBPB,PPPPPBBBPPPPPPP,BPBBPP,12,P
BPBBBP,BBBBBPBBBBBB,PPPPBP,11,B
BPPBPP,BBBBBBPBBBBB,PPPBBP,11,B
BPBPBP,BBBBBBPPBBBBB,PPPPPP,11,B
BBBPPB,PPPPPPBPPPPPP,BPPBPP,12,P
BBBBPB,PPPPPPBBBPPPPPP,BPPPBP,12,P
PPBBPP,BBBBBPPBBBBB,PBPBPB,10,B
PPPBPP,BBBBBPBBBBB,PPBBPB,10,B
PBPBBP,BBBBBPBBBBB,PPBPPB,10,B
BBPBBP,BBBBBBBPBBBBB,PBBPBP,12,B
PBPPBB,PPPPPBBBPPPPP,BBPPPB,10,P
PBPBPP,BBBBBPPBBBBBB,PBBPBP,11,B
BBPBPP,BBBBBBPPBBBBB,PPBBPB,11,B
BBBPBP,BBBBBPBBBBB,PPPPBP,10,B
PPPPPP,BBBBBBPPPBBBBBB,PPPPPB,12,B
PPBPPP,BBBBBPPBBBBBB,PBBPPB,11,B
PPPPPP,BBBBBPBBBBBB,PPPPPP,11,B
PBBPPP,BBBBBPPBBBBBB,PBBBPP,11,B
PPPBBP,BBBBBBPBBBBBB,PPPPBP,12,B
BBBPPB,PPPPPPBBPPPPPPP,BBBBBP,13,P
PPBBBP,BBBBBBPPBBBBB,PBPPPB,11,B
BPPPPB,PPPPPBBBPPPPPP,BBBBPB,11,P
BBPPBB,PPPPPPBPPPPP,BPPPBP,11,P
PBBPBP,BBBBBBPPBBBBBBB,PBBBBB,13,B
BBBBBP,BBBBBPPPBBBBB,PPPBBP,10,B
PPBPBB,PPPPPBBBPPPPPPP,BBBBPB,12,P
BPBBPP,BBBBBPBBBBB,PPPPPP,10,B
PBPPBP,BBBBBBPBBBBB,PBBBPB,11,B
BPBPPP,BBBBBBPPBBBBBBB,PBBPPP,13,B
PPPBBP,BBBBBBBBPPBBBBB,PPBPPB,13,B
PPBPBB,PPPPPBPPPPPP,BPPPPB,11,P
PPBBPB,PPPPPBPPPPPP,BPPPPB,11,P
PBPPPB,PPPPPPPBBBPPPPP,BBBPBB,12,P
PPBBBB,PPPPPPPPBPPPPPP,BBBPPB,14,P
BPBPBP,BBBBBBPBBBBBB,PBPPBB,12,B
BBBBPB,PPPPPPPPPBPPPPP,BPPBPB,14,P
PPBPBP,BBBBBPBBBBB,PBBBPP,10,B
BBPPBP,BBBBBBBBBBPBBBBBBBBBB,PBBBPP,20,B
PBBBBP,BBBBBBPBBBBBBB,PPBBPP,13,B
PBBPPB,PPPPPPPPBBBPPPPPPP,BPPPBB,15,P
BPPBBP,BBBBBBPBBBBB,PBPPBB,11,B
PBBPPP,BBBBBPBBBBB,PPBBPP,10,B
BPPPPP,BBBBBBPBBBBBBB,PBPPPB,13,B
PPPBPP,BBBBBBBPBBBBBB,PPBBBB,13,B
PBPPBB,PPPPPBPPPPPP,BPPPBP,11,P
BPPBBB,PPPPPBBPPPPP,BPBPPB,10,P
BPBPPP,BBBBBBPBBBBB,PBPPBB,11,B
BPPBPB,PPPPPBBPPPPPP,BBPBBB,11,P
BPBBBP,BBBBBPBBBBB,PBPPBB,10,B
BPBPBP,BBBBBPBBBBBBBB,PPBBBP,13,B
PPBBBB,PPPPPBPPPPPP,BPBBBP,11,P
PBBPPB,PPPPPBBPPPPP,BBPPBP,10,P
BPBBPP,BBBBBPBBBBBBBBB,PPPPBP,14,B
PBPBBB,PPPPPPPBBBPPPPPP,BPBPPP,13,P
PBPPPB,PPPPPPPPBPPPPP,BBBBPB,13,P
BBPBBP,BBBBBBPBBBBB,PBBBPB,11,B
PBPPPP,BBBBBBBBPBBBBB,PBBPBP,13,B
PPBBPP,BBBBBPBBBBB,PPPPBP,10,B
BBPPBB,PPPPPBPPPPP,BBPPPP,10,P
BBBBBB,PPPPPPPBBPPPPP,BPPBBB,12,P
BBPPPP,BBBBBBBBPBBBBBBB,PBBPBP,15,B
PBBPPB,PPPPPPPPBPPPPPPPP,BPBPPP,16,P
BPPBBP,BBBBBBBBPBBBBBB,PPBBPB,14,B
PPBBPB,PPPPPBBPPPPP,BPPBBP,10,P
PBPPPP,BBBBBBPPBBBBB,PPBPBP,11,B
PPBPPP,BBBBBPPPBBBBBB,PBBPBP,11,B
BBPBPP,BBBBBPBBBBB,PBPBPB,10,B
PBPBPB,PPPPPBPPPPP,BBPBPP,10,P
BBBPBP,BBBBBBBBBBPPBBBBB,PBPPBB,15,B
PBPBPB,PPPPPBPPPPPPPP,BPPBBP,13,P
PBPBBB,PPPPPBPPPPP,BPPPPB,10,P
PPPBPP,BBBBBPBBBBB,PBBPBP,10,B
PPPBBB,PPPPPPBPPPPP,BPPBPB,11,P
PBBPBP,BBBBBPPBBBBBB,PPPBBB,11,B
PPBPBP,BBBBBPBBBBB,PPBBBB,10,B
BBPBBP,BBBBBBPPPBBBBBBBBB,PBBPPB,15,B
BBPBBB,PPPPPBBPPPPPPPP,BBBBPB,13,P
BPBPBP,BBBBBBBBPBBBBBBBB,PPPPPB,16,B
BPPPBP,BBBBBPBBBBBBBB,PBPPPP,13,B
PPPBBB,PPPPPPBPPPPPP,BPPPBP,12,P
BPBBPP,BBBBBPBBBBBB,PBBPPB,11,B
PBBPPB,PPPPPPPPBPPPPPP,BPBPBP,14,P
PPBPBB,PPPPPBPPPPPPPPP,BPBBBB,14,P
BBBBPP,BBBBBPPBBBBBB,PBBPBB,11,B
BBPPPP,BBBBBBPBBBBB,PPPBBP,11,B
PPBBPB,PPPPPBBPPPPP,BBBBBP,10,P
PBPPBB,PPPPPPBPPPPPPPP,BBPBBB,14,P
PPBBPB,PPPPPBPPPPP,BBBPBB,10,P
BPPPPP,BBBBBBPPPBBBBBBBB,PBPBPP,14,B
BBPPPB,PPPPPBBBPPPPP,BPBBBP,10,P
BPPPPP,BBBBBPPBBBBBB,PBBBBB,11,B
BBPPBB,PPPPPBPPPPP,BPBPBB,10,P
BPBBPP,BBBBBBBPPBBBBB,PPBBBP,12,B
BPBPBP,BBBBBPBBBBBB,PPBPBB,11,B
PPPPBP,BBBBBPBBBBB,PPBBPB,10,B
BPPBPB,PPPPPPPBPPPPP,BBPPPP,12,P
BPPPBB,PPPPPPPBBBPPPPP,BPPBBB,12,P
BPPBBP,BBBBBBPBBBBBBBB,PPPPBB,14,B
PBPPPB,PPPPPBBPPPPP,BPPPPB,10,P
BBPPPB,PPPPPPBPPPPPPPPPPP,BBPPBB,17,P
PBBPBP,BBBBBBPBBBBBBBBBB,PBPPBB,16,B
PPBPPB,PPPPPBPPPPP,BPBBBB,10,P
PPBPPB,PPPPPBPPPPP,BPBBBB,10,P
BBPPBB,PPPPPPBBBPPPPP,BBBPBB,11,P
BBBBBB,PPPPPPBBPPPPP,BBBPPP,11,P
PPPBBB,PPPPPBBPPPPPP,BBBPBP,11,P
BPBPPP,BBBBBPBBBBBB,PPPBBP,11,B
PBPPBP,BBBBBPPBBBBB,PPPPPB,10,B
PPBPPP,BBBBBBPBBBBBBBBB,PBPPBB,15,B
PPBPPP,BBBBBBPBBBBBBBBB,PBPPBB,15,B
PPPBBP,BBBBBBBBPBBBBB,PBPBPP,13,B
PBBBPP,BBBBBBPBBBBB,PPPBBB,11,B
PBBBPP,BBBBBBPBBBBB,PPPBBB,11,B
PPBBBP,BBBBBPBBBBBBBBBB,PPPBBB,15,B
PBBPBB,PPPPPPPPPBBPPPPPPP,BBPBBB,16,P
PPPPBP,BBBBBBPPBBBBBBBB,PPBPBP,14,B
PPBPPP,BBBBBBBBPBBBBB,PPBBPP,13,B
BPBPBP,BBBBBPBBBBBBBB,PBPBBB,13,B
BBBBPB,PPPPPBBPPPPP,BPBBBP,10,P
BPPPPP,BBBBBBPPBBBBB,PPBPBB,11,B
PBBPBP,BBBBBBPBBBBB,PBPBPB,11,B
PPBPBB,PPPPPBBPPPPP,BBPPBP,10,P
BPBBBP,BBBBBPPPBBBBBBBBB,PBPBBB,14,B
PBPBBP,BBBBBBPPBBBBB,PPPPPB,11,B
PPPPBP,BBBBBPBBBBB,PPBBPP,10,B
BBPBPP,BBBBBPPBBBBBB,PPBPBP,11,B
PBPBBP,BBBBBPBBBBBB,PBBPBB,11,B
PBPBPP,BBBBBBBBPPBBBBBB,PPPPBP,14,B
PBPPBP,BBBBBBPPBBBBB,PPBBBB,11,B
PBBPBB,PPPPPBPPPPPP,BBBBPP,11,P
BBBBPB,PPPPPPBBBPPPPP,BPBBPB,11,P
PPBPBP,BBBBBBBBPPBBBBB,PBPPBP,13,B
BPBPBP,BBBBBBPBBBBBB,PBPPBP,12,B
PPBBBB,PPPPPBPPPPP,BBPBBB,10,P
BPPBPB,PPPPPPBPPPPP,BPBPPP,11,P
PBPBBB,PPPPPPPPBPPPPP,BBBBPP,13,P
PPBPBP,BBBBBBBBPBBBBBB,PPPBBB,14,B
PBBPPB,PPPPPPBPPPPPPPP,BPPBBB,14,P
PBBPPB,PPPPPPBPPPPPPPP,BPPBBB,14,P
BPPBBB,PPPPPBPPPPP,BPBPBP,10,P
PBPBBP,BBBBBBPBBBBB,PPBPPP,11,B
PBPBPB,PPPPPBBPPPPPP,BBBBBP,11,P
BBPBBB,PPPPPBBPPPPPP,BBBBPP,11,P
BPBBPP,BBBBBBBBPBBBBB,PPBBPB,13,B
PBPPPB,PPPPPPBBPPPPPP,BBBBPB,12,P
PBPPPB,PPPPPPBBPPPPPP,BBBBPB,12,P
PBPPPB,PPPPPPBBPPPPPP,BBBBPB,12,P
BBPPPB,PPPPPBPPPPPPP,BPPPBP,12,P
PPPBPP,BBBBBPPPBBBBBBB,PBPPBP,12,B
PPPPPP,BBBBBPPPBBBBB,PBBPPB,10,B
PPPPPP,BBBBBPPPBBBBB,PBBPPB,10,B
PBPPPP,BBBBBPPBBBBBBBB,PPBBPB,13,B
PPBBPP,BBBBBBPBBBBBB,PBBPBB,12,B
PPBBPP,BBBBBBPBBBBBB,PBBPBB,12,B
PBBPPB,PPPPPBPPPPP,BPBPBB,10,P
BPBBBP,BBBBBPBBBBBBBBB,PPBPBP,14,B
BBPBBB,PPPPPBPPPPPPP,BBPBPP,12,P
BPBPBB,PPPPPPPPPPBPPPPP,BPPBBP,15,P
PBBPBB,PPPPPPPPPBPPPPP,BBBBPB,14,P
BPPBBB,PPPPPPBPPPPP,BPPPPP,11,P
BBPBBB,PPPPPPBPPPPP,BBBBBP,11,P
BPPBPB,PPPPPBBPPPPPP,BBBPBP,11,P
BPBBPP,BBBBBPPBBBBBBB,PBBBBB,12,B
PPPPBP,BBBBBBPPPBBBBB,PPBPBP,11,B
BBBBBB,PPPPPPPPPPBBPPPPPPP,BPBBPB,17,P
BPPBBP,BBBBBPPBBBBB,PBBBPP,10,B
BBPBPP,BBBBBPPBBBBBB,PBBBBP,11,B
BPPBPP,BBBBBBPBBBBB,PPBPBP,11,B
BPPBBP,BBBBBBBBPPBBBBBBB,PBBPPB,15,B
BBPBPP,BBBBBBBPPBBBBB,PPBPBP,12,B
BPBBBB,PPPPPPBPPPPPP,BPBPPP,12,P
PBBBBP,BBBBBBPBBBBBBB,PBPPBP,13,B
PPBBPB,PPPPPPPPBPPPPP,BBBPBP,13,P
PPPBBP,BBBBBBBPPBBBBBBB,PBPPBP,14,B
PBBPBB,PPPPPBPPPPPP,BBBPPB,11,P
BPPBPP,BBBBBBPBBBBB,PPBBPB,11,B
PBPBBP,BBBBBBBPBBBBB,PBPPPP,12,B
BPBBPP,BBBBBPBBBBBBB,PPPPPP,12,B
BPBPBB,PPPPPBPPPPPP,BBBBPB,11,P
BBBPBP,BBBBBPBBBBBB,PPPBPP,11,B
BBBPBP,BBBBBPBBBBBB,PPPBPP,11,B
BPPPPP,BBBBBBBBPBBBBB,PPBBBB,13,B
BBPBBP,BBBBBBPPBBBBB,PBBPBB,11,B
BBPBPB,PPPPPPBPPPPP,BPPBBP,11,P
BPPBPB,PPPPPBPPPPPPP,BBPBPP,12,P
BBPBPB,PPPPPBPPPPPP,BBPPBP,11,P
BPBPBB,PPPPPBPPPPP,BBBPBP,10,P
PBBPBP,BBBBBBBBPBBBBBBBBB,PBBPBP,17,B
BPPBBP,BBBBBPPPBBBBB,PBPPBP,10,B
PPBPBP,BBBBBBPPPBBBBBBBBBBBB,PBBPBB,18,B
BPBBBP,BBBBBPBBBBBBB,PBPPPB,12,B
BBPBBB,PPPPPPBPPPPP,BPBPPP,11,P
BBPPPB,PPPPPBPPPPP,BBPPPB,10,P
BBBPBP,BBBBBBBPBBBBB,PBPBBB,12,B
PBBBPB,PPPPPPBPPPPPP,BBBPPB,12,P
BPPBPP,BBBBBBBBPPBBBBB,PBBPBP,13,B
BPBPBB,PPPPPPPBBPPPPP,BPPBPB,12,P
PBBBPP,BBBBBPPBBBBB,PPPBPP,10,B
PPBPBB,PPPPPBPPPPP,BPPBBP,10,P
BPBPPP,BBBBBBBBBBPPPBBBBBBBBBB,PPBPBB,20,B
BPBPPP,BBBBBBBBBBPPPBBBBBBBBBB,PPBPBB,20,B
BBBPBB,PPPPPBPPPPP,BPPBBB,10,P
BPBPBB,PPPPPPPBBPPPPPPP,BBPPPP,14,P
BBBPBP,BBBBBBPPBBBBB,PBBPPP,11,B
PBPPPB,PPPPPBPPPPPP,BPBBBB,11,P
PPBPPB,PPPPPPPPPBBPPPPPPPPP,BPPBPP,18,P
PBPPBP,BBBBBBPBBBBBBB,PPPPBB,13,B
PPPBPB,PPPPPBBPPPPP,BPBPBB,10,P
PBBBPB,PPPPPBBPPPPP,BBPPPP,10,P
PBBPBP,BBBBBPBBBBB,PBPBBP,10,B
BBPPPB,PPPPPBBPPPPPP,BBPPBP,11,P
PBBBPP,BBBBBBPBBBBB,PBBPBP,11,B
PPPBBP,BBBBBBBBPPPBBBBBBB,PPPPPP,15,B
PBPPBB,PPPPPBPPPPP,BPBPBP,10,P
PBPPPB,PPPPPPPBPPPPP,BBPPBB,12,P
BPPBPP,BBBBBPBBBBB,PPPPPP,10,B
BPPBBP,BBBBBPPBBBBB,PBBBBP,10,B
PBPBPP,BBBBBPPPBBBBBBB,PBPPPP,12,B
BPBBBP,BBBBBPPBBBBB,PPBBPP,10,B
PPPBPP,BBBBBPPBBBBBB,PBBPPP,11,B
PBBBBP,BBBBBPPPBBBBB,PBPPBP,10,B
BPBPBP,BBBBBPBBBBB,PPBBPP,10,B
BPBPBP,BBBBBPPPBBBBBB,PBBBPP,11,B
PBPBPB,PPPPPBPPPPPP,BBPPBP,11,P
PPBBBP,BBBBBBPBBBBB,PPBBPP,11,B
PBBPBP,BBBBBPBBBBB,PPPBPP,10,B
PPBBPP,BBBBBPPBBBBBBB,PBBPBP,12,B
BBBPPP,BBBBBBBBBPBBBBBBB,PBBBPP,16,B
BBPPPB,PPPPPPBPPPPP,BPPPBP,11,P
PPPPBP,BBBBBPBBBBB,PPBBBP,10,B
PPPPBP,BBBBBPBBBBB,PPBBBP,10,B
PBBBBP,BBBBBBPBBBBB,PPBBBB,11,B
BBPPPB,PPPPPBBPPPPPPP,BPBBBB,12,P
BBPBPB,PPPPPBPPPPP,BPPBBP,10,P
BBPPBP,BBBBBBPBBBBB,PPPBBB,11,B
BBPPBP,BBBBBBPBBBBB,PPPBBB,11,B
BBPBPP,BBBBBPBBBBB,PBBPPB,10,B
BBPPBB,PPPPPPPPBBPPPPP,BBPBPB,13,P
BBBPPP,BBBBBPPBBBBBBBBBB,PPBPPP,15,B
BPBPBP,BBBBBBBPBBBBB,PBBBBP,12,B
PBBPPB,PPPPPBBPPPPP,BPPBPB,10,P
BPPBPP,BBBBBPBBBBB,PBBPPP,10,B
BPBBBB,PPPPPBBBPPPPPPP,BBPBBB,12,P
PPBBBB,PPPPPPBPPPPP,BPBBBP,11,P
BPBBBP,BBBBBBPBBBBB,PBPPBB,11,B
PPBBBP,BBBBBPBBBBB,PPBBBB,10,B
PBPPBB,PPPPPBPPPPPPPP,BBBPPB,13,P
BPPBBP,BBBBBBPPPBBBBB,PBPPBP,11,B
PPPBPB,PPPPPBPPPPP,BBPBBB,10,P
PBBPPB,PPPPPBBPPPPPPP,BBBPPP,12,P
BBPPPP,BBBBBBPPBBBBBB,PPPBPP,12,B
PPPBPB,PPPPPBBPPPPPP,BBBPPP,11,P
PBBPPP,BBBBBPPBBBBBBBB,PBPBBB,13,B
BPBPPP,BBBBBPPBBBBBB,PPPPPP,11,B
BPBPPB,PPPPPBPPPPP,BBPBBP,10,P
BBBBPB,PPPPPPPBPPPPP,BPBBPP,12,P
PPBPPB,PPPPPBPPPPPPPPPPPP,BPPPBB,17,P
BBBPPB,PPPPPBPPPPP,BBBBBP,10,P
BBPBBB,PPPPPBPPPPPPPP,BBBPPB,13,P
PBPPPB,PPPPPBBPPPPPPP,BPBBBB,12,P
BBPBPB,PPPPPBBPPPPPP,BPPBPP,11,P
BBPBPB,PPPPPBBPPPPPP,BPPBPP,11,P
BPPPBB,PPPPPPBPPPPP,BPPPBP,11,P
PPBPPP,BBBBBBBBBPBBBBB,PBPPBP,14,B
PBPBPB,PPPPPPPPBBBPPPPPPP,BBPPBP,15,P
PBPPPP,BBBBBPPBBBBBBBBBBB,PPPBPB,16,B
PPPPBP,BBBBBPPBBBBBB,PPBBPP,11,B
PBBPBP,BBBBBPBBBBB,PBBBBP,10,B
PPBBBP,BBBBBBBBBBBPBBBBB,PPPPPP,16,B
BPBBPP,BBBBBPPPBBBBBB,PBBPPB,11,B
BBPPPB,PPPPPBBBPPPPPPPPPP,BPBBBP,15,P
PBBPBP,BBBBBPPPBBBBB,PPBBBB,10,B
BBBBPP,BBBBBPPBBBBBB,PBPPPB,11,B
BPPBPP,BBBBBPPBBBBBBBBB,PBBBBB,14,B
PBBBPP,BBBBBPPPBBBBB,PPPBBP,10,B
BPPBBP,BBBBBBPPPBBBBB,PBBPBB,11,B
BBPPBB,PPPPPPPBPPPPPP,BBPPBP,13,P
PPBBPP,BBBBBBBPPBBBBB,PPBBBP,12,B
PPBBBP,BBBBBBBBBPPBBBBB,PPBPBP,14,B
PPBBBP,BBBBBBBBBPPBBBBB,PPBPBP,14,B
BPPPPB,PPPPPPBPPPPPPPPP,BBPPPP,15,P
BPPPPB,PPPPPBBPPPPPPP,BBPBPB,12,P
PBPBBB,PPPPPPPBBBPPPPPPP,BPBBBP,14,P
