Statistics
PBBBPPBBBBBBPPBPPBBBPBPPBBPBPBPBPPBPPPPBTBBBPPBBBPBBPPPBPBTBPTPPPBPBB
BPBBBBBPBPPBPBPPBPBBPBPPBPBBPBBPBPPPPBBBPPPTPBPBPTBPPBBBBBPPPBBBPBPTPPB
BBBPPBBPBPBBBBBBBBPPPPPTPBBBBPBBPBTPBPBBTTBPPPPBBBPPPBTBPBBBPBBPPBTPBP
PBBBBBBBTPBBPBPBPPPPBPBPBBBBBBTBBPBPBBBBPBBPPBPPTPPPTPBBPBPPBTBPPBPTB
BPBPBBBBTBTTPBPBPPPBBPBPBBBPPPBBPPTB
PPBBBBBPPBPBPPPBPBPPPBBBPBTBPBTBBPBTTBPPPPPPBBPBPBPTBPPBPBBPPTPTPPPB
PPPPBPPBTBTBPPBPPTTPTPBTBBTPBBPPTPPPBBPPBPPPBPBBTBBTTBPPBBBBPBBBPBPPPBP
BPBTPPBPBBBBPPPPBTBPPBPBPPPBBPPPPPBPPBPTTPPBTBBTTBBTPBBBPPPBPPTPP
PBBBBTBTPTBPPBBTBBBPBPBBBPBBBPPPBPPTPBPPBPPBBBPPBBBPBPPTBBBPPTBPPB
PBBPPBPPPBBBPBPPBPBBBBBBBPBPPPPPBBBPBTPBPBPBPBBPTBPBBPPPBPPPBBBBPBP
BPBPPBPBPBPPPPBBBBBPPPPPPBBBBPBPBBBTPBPPBPTBBBTPPBPTBPBPPBPBPPB
BBTPPPBBPPBPPPBPPPBBBBPBPPPPPBTPPBBPPBPBBBBPTBBPBBBBTPBBPBPPPBTB
PBPBBPPBBBTPBPTBBPBTPTBBPPPPPBBPBPPBBPBBPBBBPPBBPTTBBBPBBPBPB
PTPPBBTPTBBTPPBBBBPBBBBPPPBPBPPBBPPBPPBPBPBBBBPPTBPPBTBBBPBBBP
PTBBBBPPPPPPTBPBBPBPBBPPTPBTPBBBBBPPPPBBPPBPBTPPPBBPPTTPBBPPBPPBBPP
BBBPPBPBBPBPBBPPTPBPTPBPBBBBPBPBBPBPPBPPPTTPBPBBBPPTPBPPPPBPPPPPT
PPPBPBBBPBBBPBBTTPBBPPBBBPPTBPBBBBPPBBBPPBBTBPPBPBBPTBTPTBPPBTP
PPBTBPBBBBTBPBPBPPPPPPTBBBTBBBBPBBBBPBBTPTPPPBPTPTBBPPPPBPBPBPBPB
BPBBBBPTBBTPTBPPPBPPBPBBBPBPPTBBBBBPBPBBPBPPBPPBPBBBPPPBTBPPPPTBBPBP
PTTBBBPBBBTPBBBPPBPPPPPBPBPBPBPPPPPBPPBPBPPPPBBBBBTPPBBTPPBT
BBBBPPPPPPTPPPBPPPPPBBBBTBBPBBBPPPBBBPBPPTBBPTBTBPBTPTBPBPBBBPPBBB
BTPBPBBBBBTBPBBPPPBBBBBPPBBPPBBTPBBPBBPTPPPPBPPBTPPPPBBPPPPBT
PBPBPPBBPBBBTBBBBBPPBBPBBPPPPPBPPBBPBBTPPBPBBPBPTBTBPPBTTPBBBPBBPPPP
PBPBBBPPBPPBBBPBPBPPBPBPTPPBPBBPPPBTBTBBTTPBBBTBPBBBBBBTPPPBBBBTBBTPPT
PPPBTPBPBBTPBBTPTPBBPBPPBPPTBPPBPTPBBPPPBBBPPPPPBPPPPBBBPPTBTPPBP
PBPBBBBBBPPPTBPPPBBBPBPPPPPBPTBPBBPBBPBPPBBPBPBPBBPBBBPPPBPBPBPTPPTBBP
BTBBBPBPBTBBBBBBTTBPBBBBPBPBPBBBBBTPPBBPPBPPPPTBBBBPPPBPBPPBPBP
BPPPBBPBBBPTBBBBPBBBPTBPBBTPBPBPPBBPPBPBPPBBPBPBBPPBBBBTPBPBBBPPPP
PPBBPPPBTPBBBTPBPBPBPPPBTBBPPBPPPBBPBPTBBP
BBBPPPBPBBPTBTPBTPPTBPBBPPPBPBBBBPTPBPBPBBPBBPBPTPBPPPPPTBPBPPBBT
PBBBPPPPBBPBPPPBPBBBPPBBBBBPBPBTPBBPPPPPPTBPPBBPBBPTTPBBPBPBBPBPPB
PTPBPPPBPBPPPBPBBBPPPPBPBPBBBPBPBPTBBBPBBBBBPBPPBPPBPPBPBBBBBPBPTB
BPTPBBBBPPBPPPPBTPPTPBBBPPBBPPPPBPPTPBTBBTPPPBBPPBPTPPPPBBPBBPBT
BPTBPPBBTPPBBPBPPPPBBPBBPBPBBBPBBBPTPBBPBPBBBPPPPPPBBPPPPPPPPPT
BBPPBPPBBPBBTPTBPBBPPBTTPTTBBPPBPPPTBPPPTPTBPBPPPBPBPBBPPTBPBBBBPB
PPBBTBBPTBBBPPBTPPPBPPBBBPPBPBPPPBTBBTBPBPPPBPBBPPBBPPBBBBBPPBB
BBTPPPPBPBBBPPPPPBBTPPBBPBTPBPBPPPBPPPBBBPBBPBBPBBBBBTBPBBBBPB
BPBBPPPBPPPBPPBPPPTPBPBPBTBBPBBBBBBBBPPPBPPBPPBBPTPBBPBBPPPPBBBBP
PPPBPBBPPBBPBBBPTBBTBPBPPBBPPBBPPBTTBBPPPBBPBTBPBTBBBTPPPBPPB
PTTBBBTBBBBPPBPBPBTBPBTPBTBPPPBBPPPPBPBPBPPPPPBTBBPPBBPBBBPPPP
PPBBBPBBPPBPPPBBPBBTBBPPBTBBPBPBBBBBBBPBPTBBBPPPBBBTBPPPBTPBPTP
BBBBPPBBPPPTPBBPPPPPPBBPBPBBPPTBBBBBTBTPPPBPBPPBTPPPTBBPPPTTBPP
PBBPPBBBPBBPBBPPBBBPBPBBPPBBPPBBPBPBBPBPBPBPTBPBPPBBPPTTBBPTBPPPBP
PPPPBBBBBTTBBBBBPBPBTBPTPPBBBBPBPPBBPPPBTPPPPBPPPPBBBBBBBBBPPPT
PPTBBPTBBBPPPBBBBBPPTPBBPPBBTBBBBTBBBBPBPPPPBPBPBPBTPBPBTBTBBTPP
PBPBPPBBBPPPBBPTPBBBBPBPBBBPBBPPPPTPPPBBBBPBPPBPTBPBBBPPBBBBBTPB
PBPBBBTPPTBPTPPPPPBBBBPPPPBPBBPBTBBPPPPPBPBBBPTBBBPPPTBPPPPP
PPBPBPPPPPPTBBBBPBPBBPPTBBBBPBPPBPBBPPBBBPPPBPTBTBPPBBPPBPPBPPPB
BBPPBPPPBPBPPBPBPBTBPPBPBBBPPPPPPBPBTPTTBBPTBBPPBPBBBPBBBBBPBPPPB
PPBPPPBPPPPBBTBBBBPBPPBTBBPBPBBPBBBBBPTBBPBBBBBBTTBPPBBBPBBBBBPPPP
PPBPPBBBPBBBPBPTPBBBBPBTBPBPBPPBBTPPPBBPTBTBBTTBPPBPBPPPBBBBPBPPPTB
BBBBBBBBTPBBPBPPBPBPTBPTBTPPTBPPBBBBPBPPPPPPPBBPPBPBBPBBPBPB
BBPPPBPBBPBPBBPBPPBPPBBBPBTPBBBPBPPPTPBBPPBPPTPPPPBBPTBBBB
BBBPBPBBTBPBBPTBBTPBTBPBBPBPBPBPBBBBPPTBBBPPPTPBBBTPPPPTBPPPBPPBPT
PBBPPBPPPBTPBBBPPPPTPBPBPTPBPBBBTPTBBBBBPPPPPBBPBBBPPBBPBBTPBPPBPBBP
BPTPPPBBBPBPPPBBPTPBPBBTPBBBPPBBPPBPBPPPPPBPBBBTPBPBBBPPPBPPBBPBBPPPP
PPBPBBPBBPTBBPPTBTPTBPTBPBBBPPPBBBPBBBBBPPPPTBBPBTBPBBTPBP
BPBTBPPPBTBPPPPPBPBTPBBBPBBBBBBBBPPPPPBBBPBPBBPPPTBPPBPBB
PBBPPBTBPPPBPBBPBPPBBPBBBBPBPBPBBBBPBBPPBPBBPPTBPPBBTPTBPP
BBTBPPBPPBPPBBPTBBPPPBBBTBPPPBPPPBBBBBBPBBPPPPBPTBBTPPTBBBBBPBPP
PPBPPBTPBPBTBPBBBBBPBBTBPPPPBPBBBBBBBPPBPPBPBPTTPBPTPBTPBBPPTPBB
PPBBBBBPPBPBBBPTBBPPBBBPBBPBTTPBPBBPPPPPBPPPPBPBBTBBBBBPPBBPPBPPBPP
BPTTBTPPBBPBBTPBBPPBBPBBBPBPPBPPBBBBBPBPPBPBBBPBTBPBBBPBPPPPPB
BBTBBPPBBBBBPPBTPPPTPBBBBBBBTPPBPBPBBBBBBPPBBBBPBPBPTPPPPBBBPBPPPBPBPBT
BPPPTPTPBPBBBPBPBPPBBPPPPBBBPPTTPBPBPPPPBPBPBBPBBBBPBBBBPPPPBBTP
PBBBPBBPPBBPBBBBPBPPPPPBBBPBPPPPBPPBPPPBBBTPPTTBBPTPBBPPBPPPB
BPPPTPBBBBBBBPTTBPPBBPPTBPTPPPPPPBBBPPPBBTPBBBBPPPPPPPBPBPBPP
BBPPBPBPTBPBBBBPBBPPPPBPBPPBTBPPPPBPBBPPPPTBBPBPBTPTBPBBPBBPBP
BPTBPBTBPPTPBTBBPBBPBBPBBPBBTBBBBTBPPBPBPPBBBPPTBPBBBTBPPPPBT
BBBBBBPBTPBPPBPBBTPPBBBTPTBBBPPPPPTBBBPPBBPBPTBPPBBBBPPTPBB
PBPTBBBBPPPPPBPPBPPBPPPPBPBBBPBPBBBBBPPPTPBPBBPPPTTBPBBBBBPBBP
PPPPBBBTTPPPPBPPBPTPBPPBPBPBPBBPPBBPPBBPBBPBPTTBTPPBPPBBBPBB
BBBPPPBPBPBBPBBBBPTBBBBPPBBPPPBTPBBPPBPBBTPBPBBPPTPBPBPBPBBBBBPPP
BPBPTPPBBBPPBBBBPPPBBBPTTPTPBPPBPBBPBBBBBPPPBTPBBPPTPPPBPPBPPPB
