before,chainok_12,after,pattern
BBPPPP,BPPB,PBBPBB,1-2-1
PPBPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PPPPPB,2-1-2
PPPBBP,BPPB,PPPPBB,1-2-1
PBBBPP,BBPBB,PBBPBP,2-1-2
PBBPBB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBBBBP,1-2-1
BBPBBP,BPPB,PBPPBB,1-2-1
PBBPPP,BBPBB,PBBBPB,2-1-2
PPPPBB,PPBPP,BPPPBP,2-1-2
BBPPPP,BBPBB,PPPBBP,2-1-2
PPBBPB,PBBP,BBPPBP,1-2-1
PBBPBB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPPPPP,1-2-1
BPPPBP,BPPB,PPBBPB,1-2-1
BBBPPP,BPPB,PPBPPP,1-2-1
PBPBPB,PBBP,BBBBBB,1-2-1
BBPPPB,PBBP,BBPPBP,1-2-1
PPPPPP,BBPBB,PPBBPP,2-1-2
BPPPBP,BPPB,PBBBPP,1-2-1
BPBPPP,BBPBB,PPBBPB,2-1-2
PBBBBB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPBBBB,1-2-1
BBPBPB,PBBP,BBPPPP,1-2-1
BPPPPP,BPPB,PPBPBB,1-2-1
BBBPPP,BBPBB,PPBBBP,2-1-2
PPBBBP,BPPB,PBPPPP,1-2-1
BBPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBPBBP,1-2-1
PBBBBB,PPBPP,BBBBBP,2-1-2
BBBBBP,BPPB,PPPPPB,1-2-1
BBPPPP,BBPBB,PPPBBP,2-1-2
BBBBPP,BBPBB,PBPPBB,2-1-2
BPBPBB,PPBPP,BBBPPP,2-1-2
BBPPPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPPBBP,1-2-1
PBPBBB,PBBP,BBPPBP,1-2-1
PPBBPP,BBPBB,PPPPPB,2-1-2
BPPPPP,BBPBB,PPBPBP,2-1-2
PPBBPP,BBPBB,PBPPBB,2-1-2
BPBPBB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPPPPB,1-2-1
BPPPPP,BPPB,PPPBBB,1-2-1
PPPPPP,BBPBB,PBBBPB,2-1-2
PPPBBB,PBBP,BBPPPP,1-2-1
PBBPPP,BPPB,PBBBPB,1-2-1
BBPPBB,PPBPP,BBPPPP,2-1-2
PPPPPB,PBBP,BPBPBB,1-2-1
PBBBPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBBBPB,1-2-1
BBBBBB,PBBP,BPPBPP,1-2-1
BBPBBP,BPPB,PPPPBB,1-2-1
PBPPPB,PBBP,BBBBBP,1-2-1
BBPPPP,BPPB,PPPPPB,1-2-1
BBPPBB,PPBPP,BBPBPP,2-1-2
BBBPBP,BPPB,PBBBBB,1-2-1
BBBPPB,PBBP,BPPPPB,1-2-1
PPPPPP,BBPBB,PPBPBP,2-1-2
BPBPPP,BPPB,PBPPPP,1-2-1
BBPPBP,BPPB,PBPBBB,1-2-1
PPBPBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BBBBPP,2-1-2
PPPBBB,PPBPP,BBPPBB,2-1-2
PPPPBP,BPPB,PBBBPP,1-2-1
PPBBBB,PBBP,BBPBPB,1-2-1
BBBPPP,BBPBB,PBBPBB,2-1-2
PBBPBB,PBBP,BBPPBB,1-2-1
PBBBBB,PPBPP,BBBPPB,2-1-2
PBBBBP,BPPB,PPPBBP,1-2-1
BPPPBP,BPPB,PBBPPP,1-2-1
BPPPPB,PBBP,BBBPBB,1-2-1
BBBBPP,BBPBB,PPPBBB,2-1-2
BBBBBB,PBBP,BPPBBB,1-2-1
BPPPPB,PBBP,BBBPPP,1-2-1
BBPPBB,PPBPP,BPBPBB,2-1-2
BPBBBB,PBBP,BBBPBB,1-2-1
BPBBBB,PBBP,BPBBBP,1-2-1
BPBPBB,PPBPP,BBPBBP,2-1-2
BPPBPP,BBPBB,PPPBPP,2-1-2
PPBPBP,BPPB,PBBBBP,1-2-1
BBBPBP,BPPB,PBPBBB,1-2-1
BBPBPB,PBBP,BBBPBB,1-2-1
BPPBBP,BPPB,PBBBBB,1-2-1
PBPPBB,PPBPP,BPBPPP,2-1-2
BPBPBP,BPPB,PPBPBP,1-2-1
PBBBPB,PBBP,BPPPBB,1-2-1
BPBPPP,BBPBB,PBBBPB,2-1-2
PBBBPB,PBBP,BBPPPP,1-2-1
BBBPPB,PBBP,BBBPBB,1-2-1
BBBBBB,PBBP,BBPPPP,1-2-1
BBPPBP,BPPB,PPBPPP,1-2-1
BPPBPB,PBBP,BPPBBB,1-2-1
BPPPPB,PBBP,BPPBBB,1-2-1
BBPPPP,BBPBB,PBPPBB,2-1-2
BBPPPB,PBBP,BBPBBB,1-2-1
BBBBBB,PBBP,BPBBBP,1-2-1
BPPPBP,BPPB,PBPBPP,1-2-1
PBPPPP,BBPBB,PBPPBB,2-1-2
BPPBBB,PBBP,BPPPPP,1-2-1
PPPPPB,PBBP,BBBPBB,1-2-1
BPPBBB,PPBPP,BBPPPB,2-1-2
PPBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BBBPPP,2-1-2
BBBBPB,PBBP,BPPBBP,1-2-1
BBPPPB,PBBP,BPBPBP,1-2-1
PBBPPB,PBBP,BBBBBB,1-2-1
BPPBBB,PPBPP,BPPPBB,2-1-2
PPPBBP,BPPB,PPPBBP,1-2-1
PPBBBB,PBBP,BBBPPB,1-2-1
PPPBBB,PPBPP,BPBPBP,2-1-2
PBBPPB,PBBP,BBBPPB,1-2-1
BPBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BBBPBB,2-1-2
PPBPPP,BBPBB,PPBPBP,2-1-2
PPBBPB,PBBP,BBPBBB,1-2-1
BBPPBB,PPBPP,BBBBBB,2-1-2
BPBBPP,BBPBB,PBPPPP,2-1-2
BPPPPP,BPPB,PPPPBP,1-2-1
PPBBPB,PBBP,BPPPBP,1-2-1
PBPPPB,PBBP,BBPBBB,1-2-1
PPPBBP,BPPB,PBPBPB,1-2-1
BPPBBB,PPBPP,BPPPBP,2-1-2
BPBBBP,BPPB,PPPPBB,1-2-1
BPPBPB,PBBP,BBBBPP,1-2-1
PBPBBB,PBBP,BBPBBP,1-2-1
BBPBBP,BBPBB,PBPBPP,2-1-2
PPPPBP,BPPB,PBBPPB,1-2-1
BBBPPP,BBPBB,PPPPBB,2-1-2
BBBBBP,BPPB,PBBBBP,1-2-1
BBBBBP,BPPB,PBBBBP,1-2-1
BBBPBP,BPPB,PPPBBP,1-2-1
PPPBBP,BPPB,PPBPBP,1-2-1
BBPBBB,PBBP,BPPBBP,1-2-1
BBPBPP,BBPBB,PPPBPB,2-1-2
PBPPBB,PPBPP,BPPBBB,2-1-2
PBBBBP,BPPB,PBBBPP,1-2-1
PBBPPP,BPPB,PBPBBB,1-2-1
PBPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBBBBP,1-2-1
BBPPPP,BBPBB,PPBPBB,2-1-2
BBBPBB,PPBPP,BPPPPP,2-1-2
BBBBBB,PBBP,BPPPBP,1-2-1
PBPBPP,BBPBB,PBPPBP,2-1-2
BBPBBP,BPPB,PPPBPB,1-2-1
BBBPPP,BPPB,PBBPPB,1-2-1
PPBBPP,BBPBB,PPPBPB,2-1-2
PBBBPB,PBBP,BPPPBP,1-2-1
BPBPPP,BPPB,PPBPBP,1-2-1
BPPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBBBPP,1-2-1
PBBBBB,PPBPP,BPPBBB,2-1-2
BPPBBB,PBBP,BPPPPB,1-2-1
PPPPBP,BPPB,PBPPPP,1-2-1
BBPPBP,BPPB,PBBBBP,1-2-1
PPPBBB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPBPPP,1-2-1
BBBBPB,PBBP,BPBBBB,1-2-1
PPPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBPBBB,1-2-1
PBPPPP,BPPB,PBPPBB,1-2-1
BPBBBB,PBBP,BBBBPP,1-2-1
BBBPPP,BPPB,PBBPPB,1-2-1
PBPPBB,PPBPP,BPPPPB,2-1-2
BPPPPB,PBBP,BPBPPP,1-2-1
PBBBBB,PBBP,BPPPBB,1-2-1
BBPPBP,BPPB,PBBBPB,1-2-1
BBBPBB,PPBPP,BPPBPB,2-1-2
BBBPBB,PPBPP,BPPBPB,2-1-2
BPBPBB,PPBPP,BBPBPB,2-1-2
BBPPBB,PPBPP,BBBPBP,2-1-2
PPBBBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBPBPP,1-2-1
PBPBBP,BBPBB,PBBPPP,2-1-2
PBBPPB,PBBP,BPBBBP,1-2-1
PPPBBP,BPPB,PPPPBP,1-2-1
BBBBBP,BPPB,PPBBBP,1-2-1
PBPPPB,PBBP,BPPBBB,1-2-1
PBBBPB,PBBP,BPBPPP,1-2-1
BBBBBB,PPBPP,BBPBPB,2-1-2
PBBPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PPBPBP,1-2-1
PBBBPB,PBBP,BBPBPB,1-2-1
BPBBBB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BBPBBP,1-2-1
BBPBBP,BBPBB,PPPPPP,2-1-2
PPPPBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPBPPB,1-2-1
BPPBBB,PBBP,BPPBBP,1-2-1
BBPBBB,PBBP,BPPBPB,1-2-1
BBPBBP,BPPB,PBBPPP,1-2-1
PPPPPP,BBPBB,PBPPBP,2-1-2
BBPBBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPBPBP,1-2-1
BPPPPP,BBPBB,PPPPPP,2-1-2
PBPBBB,PPBPP,BBBPPB,2-1-2
BBPPBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPPBB,1-2-1
BPPBBB,PBBP,BBPPPP,1-2-1
PPPBPB,PBBP,BBPPBB,1-2-1
BPPBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBBBPP,1-2-1
PPPPPB,PBBP,BBBBPB,1-2-1
BPBBBP,BPPB,PBBPPB,1-2-1
PBPBBB,PBBP,BBBBPP,1-2-1
PBBBBP,BPPB,PPPBPP,1-2-1
PBPPPP,BPPB,PPBBPP,1-2-1
BBPPPP,BBPBB,PBPPPB,2-1-2
PPPBBB,PBBP,BBBPPP,1-2-1
PPPBPP,BBPBB,PBPPBP,2-1-2
BBPBBP,BPPB,PBBBBP,1-2-1
PBBBBP,BPPB,PBBBBP,1-2-1
PBBPPB,PBBP,BPPPPP,1-2-1
BBBPPP,BPPB,PPBBBP,1-2-1
BPBBBB,PBBP,BBBPBP,1-2-1
BPBBBP,BPPB,PPPPBB,1-2-1
PBBPPP,BBPBB,PPPBPB,2-1-2
BBBBPB,PBBP,BBPPBB,1-2-1
BBBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BBBBBB,2-1-2
BPBPBP,BPPB,PPBBBB,1-2-1
BPBPPP,BPPB,PPBPBB,1-2-1
PBBBBP,BPPB,PPPPPB,1-2-1
BPBBPP,BBPBB,PPBPBB,2-1-2
BPPPPB,PBBP,BBBPPP,1-2-1
PBBBBP,BPPB,PBPPPB,1-2-1
BPPPBP,BPPB,PPBBPP,1-2-1
PPBBPP,BBPBB,PBBBPP,2-1-2
PBBBPB,PBBP,BPPPBB,1-2-1
PPPBBB,PPBPP,BPBPPP,2-1-2
BBPBPB,PBBP,BBBPBP,1-2-1
PPPBBP,BPPB,PBPBBB,1-2-1
PBPBPB,PBBP,BBPPPP,1-2-1
BPBPPP,BPPB,PPPBBP,1-2-1
BBPPBB,PPBPP,BBPBBP,2-1-2
BPPBPP,BBPBB,PPBBBB,2-1-2
PPPPPB,PBBP,BPBBBB,1-2-1
PPPPPB,PBBP,BBBPBP,1-2-1
BPBBPB,PBBP,BPPPPB,1-2-1
BBPPPP,BPPB,PBBBPB,1-2-1
BBBBPP,BBPBB,PPBBPB,2-1-2
BPBPBP,BPPB,PBPBPB,1-2-1
PPBBBB,PPBPP,BBBBPB,2-1-2
BBBBPB,PBBP,BBPPBP,1-2-1
PBBBBB,PBBP,BPBBBP,1-2-1
PPPBPB,PBBP,BBBBBB,1-2-1
BBPPPP,BPPB,PBBPBB,1-2-1
PPBPPB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BPPBBB,1-2-1
BPBBBP,BPPB,PBBBBB,1-2-1
BBBBBP,BPPB,PBPBPB,1-2-1
BPPPPP,BPPB,PPBPBB,1-2-1
PBBBBB,PBBP,BPPBBP,1-2-1
BBBPPP,BBPBB,PBPPPB,2-1-2
BPPBPB,PBBP,BBBPPB,1-2-1
PBBBBP,BPPB,PBPBBB,1-2-1
BBPBBB,PBBP,BPPPBB,1-2-1
PBPBBB,PBBP,BPBBBB,1-2-1
BPPPBB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPBBBB,1-2-1
PPBPBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PBBPPP,2-1-2
PPBPPB,PPBPP,BPBPBP,2-1-2
BPPBBP,BPPB,PBPBBP,1-2-1
BPPBPB,PBBP,BBBPPB,1-2-1
BBPBBB,PPBPP,BBPBPP,2-1-2
BPPBBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBPBBP,1-2-1
BPPBBP,BPPB,PBPPBB,1-2-1
PBBPPB,PBBP,BBBBBB,1-2-1
PBPPBB,PPBPP,BBBPPP,2-1-2
PPPBPP,BBPBB,PPBBBP,2-1-2
PPBBBB,PBBP,BBBPBB,1-2-1
PPPBPB,PBBP,BPBBBP,1-2-1
BBPPPP,BPPB,PBBBPB,1-2-1
BBPPPB,PBBP,BBPPPP,1-2-1
BBPPPB,PBBP,BPPBBP,1-2-1
PBPBBB,PPBPP,BPBPPP,2-1-2
BPPPPP,BPPB,PPBPPP,1-2-1
PBPPPP,BPPB,PPBPPP,1-2-1
BPPPBB,PPBPP,BBBBPP,2-1-2
BBBBPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPPPPB,1-2-1
PPBBBB,PBBP,BBBBPP,1-2-1
BPPPPB,PBBP,BPBBBB,1-2-1
BPBPPB,PBBP,BBPPBP,1-2-1
BBBPBB,PPBPP,BPBPPP,2-1-2
PPBBBP,BPPB,PPPBBP,1-2-1
BPBBBB,PPBPP,BBPBBB,2-1-2
PPPBPB,PBBP,BPPPBB,1-2-1
BBPBPP,BBPBB,PBBBPB,2-1-2
PBBBBB,PPBPP,BPBBPB,2-1-2
PPBPPB,PBBP,BBPPPB,1-2-1
PBPBBB,PBBP,BPPPBP,1-2-1
PPBPBP,BPPB,PBBBPB,1-2-1
BPBBBP,BPPB,PPBBBB,1-2-1
PPBPBP,BPPB,PPPBBB,1-2-1
BBBPBP,BPPB,PPBPPP,1-2-1
PPPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPPPPB,1-2-1
PPPPBP,BPPB,PPPBPP,1-2-1
BBPPPB,PBBP,BPPBBP,1-2-1
BBPBPP,BBPBB,PPPPPB,2-1-2
BPBBBB,PBBP,BBPPBB,1-2-1
BBPPPB,PBBP,BPBBBB,1-2-1
BBBBPB,PBBP,BBPPPP,1-2-1
BBPPPP,BBPBB,PPBBPP,2-1-2
PBPBPP,BBPBB,PBPPBP,2-1-2
BBPBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBBPPP,1-2-1
BBBPPB,PBBP,BBPPPP,1-2-1
BBPPPP,BPPB,PBBBPP,1-2-1
BBPPBB,PPBPP,BPBPPB,2-1-2
PBPPPP,BBPBB,PPBPBP,2-1-2
BPBPPP,BPPB,PBPPBB,1-2-1
BPBBBB,PBBP,BBPPBB,1-2-1
BPBPPP,BPPB,PBBBPP,1-2-1
PPPPBP,BPPB,PPBBBP,1-2-1
PPBPBB,PPBPP,BBBPBB,2-1-2
PBBPPB,PBBP,BBBBBB,1-2-1
BBPPPP,BBPBB,PBPBBB,2-1-2
PPPPPP,BPPB,PBBPPB,1-2-1
PPPPBP,BPPB,PPPPBP,1-2-1
BPBPPP,BPPB,PBPBPP,1-2-1
BBPBBB,PPBPP,BBBPPP,2-1-2
BBBBBP,BPPB,PPBBBP,1-2-1
PBBBBB,PPBPP,BBPBBB,2-1-2
PBBBBP,BPPB,PBBBBB,1-2-1
BBPPPB,PBBP,BBBPPB,1-2-1
BBBPBB,PPBPP,BPPBPB,2-1-2
BPPBPP,BPPB,PBPPPB,1-2-1
BBBBPB,PBBP,BBPPBB,1-2-1
PPBPBB,PPBPP,BPPBBP,2-1-2
BBPPBP,BPPB,PBBBPB,1-2-1
PBPBBB,PBBP,BPPBPP,1-2-1
BBPBBP,BPPB,PPBBBB,1-2-1
PPPBPB,PBBP,BPBBBP,1-2-1
PPPPPP,BPPB,PBBPPB,1-2-1
PBPBBB,PBBP,BBBPPP,1-2-1
BBBPPP,BPPB,PBBBBP,1-2-1
PPPPPP,BPPB,PPBPBP,1-2-1
BPBPBP,BPPB,PBBBBP,1-2-1
PBBPPP,BPPB,PPBBPP,1-2-1
BBPPBP,BPPB,PBBBPB,1-2-1
PBPBBB,PBBP,BBPPBB,1-2-1
PPPPBP,BPPB,PPBBPP,1-2-1
PPPPPB,PBBP,BPBPBP,1-2-1
PPPPBP,BPPB,PBBPPP,1-2-1
PBBBPB,PBBP,BPPBBP,1-2-1
BBBPBP,BPPB,PBPBPB,1-2-1
PBPBPB,PBBP,BBPBPP,1-2-1
PPBBPB,PBBP,BBBBPB,1-2-1
BPBPPP,BPPB,PPBPBP,1-2-1
BBBBBB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBBBBB,1-2-1
PBBPBP,BPPB,PPBPBB,1-2-1
PBBPPP,BPPB,PPBBBB,1-2-1
PBBBPB,PBBP,BPBPBP,1-2-1
PBPBPB,PBBP,BBBBPP,1-2-1
PPPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBBBBP,1-2-1
PBPBBP,BPPB,PPPBPB,1-2-1
PBPBBP,BPPB,PPPBPB,1-2-1
BBPPPP,BPPB,PPBPBB,1-2-1
PPBBBB,PBBP,BPBBBP,1-2-1
BBPPPP,BBPBB,PPPBBP,2-1-2
PBBPBP,BPPB,PPPBBB,1-2-1
BBBPPP,BBPBB,PBBBPB,2-1-2
BBBBBP,BPPB,PPPPBP,1-2-1
BPBBPP,BBPBB,PBBBBB,2-1-2
PPPPBP,BPPB,PBBBPB,1-2-1
BBPBPP,BBPBB,PBBPBB,2-1-2
PBBPBB,PBBP,BBBBBB,1-2-1
PBPPPB,PBBP,BPPBPP,1-2-1
PBPBBP,BPPB,PPBPPP,1-2-1
BPBBBP,BPPB,PBBBBP,1-2-1
BBPBBB,PPBPP,BBPBBP,2-1-2
BPPBPP,BBPBB,PPBBBP,2-1-2
BPPBBB,PBBP,BBBPBB,1-2-1
BBBPBP,BPPB,PBBBBP,1-2-1
PBPBBB,PBBP,BBBBPB,1-2-1
PPPBBP,BPPB,PPBBPB,1-2-1
