before,chainok_12,after,pattern
BBBBBB,PPBPP,BBBPBP,2-1-2
BPBPBP,BPPB,PPPPBB,1-2-1
BBBBBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPBPP,1-2-1
PPBBBB,PBBP,BPBPBB,1-2-1
BBBBBB,PBBP,BPBPPP,1-2-1
PPPBBB,PBBP,BBBPBB,1-2-1
BPBPBP,BPPB,PBBPPP,1-2-1
BPPPPP,BPPB,PPPBBB,1-2-1
PPBPPP,BPPB,PPBBBP,1-2-1
PPBBBP,BPPB,PBBBBB,1-2-1
PBPBPB,PBBP,BPBBPP,1-2-1
BPBBBP,BPPB,PBBBPP,1-2-1
BPBBBB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BPPPBB,1-2-1
PBBBPB,PBBP,BPBBPP,1-2-1
BBPBPP,BBPBB,PBBBPP,2-1-2
PBPPBB,PPBPP,BPBPBB,2-1-2
BPBBBB,PPBPP,BBBBPB,2-1-2
PPPPPB,PBBP,BPBBPP,1-2-1
BBBPPB,PBBP,BPBBPP,1-2-1
PBBPPP,BPPB,PBBBBP,1-2-1
BBBBPB,PBBP,BPPBPP,1-2-1
PBPBBP,BPPB,PPPPBP,1-2-1
BBPBBB,PBBP,BBPPBB,1-2-1
BBBPPB,PBBP,BPBPPB,1-2-1
BPBBBB,PBBP,BPPPBP,1-2-1
BPBPPP,BPPB,PBBBPB,1-2-1
BBBBPB,PBBP,BPPBPP,1-2-1
PBPBBP,BPPB,PPBPBB,1-2-1
BPPPPP,BPPB,PBPPPP,1-2-1
BBPBPP,BBPBB,PBPBPB,2-1-2
PPBBPP,BBPBB,PBBPPP,2-1-2
BPPPPP,BPPB,PPPPBB,1-2-1
BBBBPP,BBPBB,PPPPPB,2-1-2
PPPBPP,BBPBB,PPBPBB,2-1-2
PBBPPB,PBBP,BPBBPP,1-2-1
PBPBBB,PPBPP,BBBPBP,2-1-2
BBBPBP,BPPB,PBPPPB,1-2-1
PPPBPB,PBBP,BBPPBB,1-2-1
BPPBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BPPBBP,2-1-2
PPPBPB,PBBP,BBPBPP,1-2-1
BBPBPB,PBBP,BBBPPP,1-2-1
PBBBPB,PBBP,BPBPPB,1-2-1
BBPPPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBBPPP,1-2-1
BPPBPB,PBBP,BBPBPP,1-2-1
BBPBBP,BPPB,PPPPPB,1-2-1
PPPBPP,BBPBB,PPBBPB,2-1-2
BBBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BPBBBB,2-1-2
PBPPPP,BBPBB,PBPBBB,2-1-2
BPPBPP,BBPBB,PBPBBP,2-1-2
PPPBBB,PBBP,BBPBBB,1-2-1
PPBPPP,BPPB,PPPPBP,1-2-1
BBBPPP,BPPB,PPBBPP,1-2-1
PPBBPP,BBPBB,PPPPBB,2-1-2
BBBPPP,BBPBB,PBBBBP,2-1-2
BPPBPB,PBBP,BPBBPP,1-2-1
BPPPBP,BPPB,PPPBBP,1-2-1
BPPBBB,PBBP,BBPPBB,1-2-1
PPBBPB,PBBP,BPBPBP,1-2-1
PBBBBP,BPPB,PBPBBB,1-2-1
BPPPPB,PBBP,BBBPPP,1-2-1
PBBBBP,BPPB,PBBPPB,1-2-1
BPPPBP,BPPB,PBPBBP,1-2-1
PPPBPB,PBBP,BBPPBP,1-2-1
PBBBPB,PBBP,BBBBBP,1-2-1
PBBBBB,PBBP,BBBBBB,1-2-1
PPBBBB,PBBP,BPBPPB,1-2-1
BBBBBB,PBBP,BPPBPB,1-2-1
BBPBBP,BPPB,PBPBPB,1-2-1
BPBPBP,BPPB,PPBBBB,1-2-1
PBBPPB,PBBP,BBPBPB,1-2-1
BBPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPPBPP,1-2-1
PBPBBP,BPPB,PPBBBP,1-2-1
PBPBBB,PBBP,BBPBBP,1-2-1
BBPBBP,BBPBB,PBBPBP,2-1-2
PBBPBB,PBBP,BPBPBP,1-2-1
PPPPBP,BPPB,PBBBPB,1-2-1
PBBBPP,BBPBB,PBPPBP,2-1-2
PBBPPB,PBBP,BBBPPB,1-2-1
PBPBBP,BBPBB,PPBPBP,2-1-2
BBPPPP,BBPBB,PBBPBP,2-1-2
BBPPPB,PBBP,BPPBBP,1-2-1
PPBPBB,PPBPP,BBPBPP,2-1-2
BPPBPP,BBPBB,PPPBBB,2-1-2
BPPBPB,PBBP,BBBBBP,1-2-1
BBBBBB,PPBPP,BPBPPB,2-1-2
PBPPBP,BPPB,PPBPBB,1-2-1
BPPBBB,PBBP,BPBPBB,1-2-1
BPBBBP,BPPB,PPBBBB,1-2-1
BBBBBP,BPPB,PBBBPB,1-2-1
PBPBBB,PBBP,BBBPBP,1-2-1
PPPBPB,PBBP,BBBBPB,1-2-1
PBPPPP,BPPB,PPPBBB,1-2-1
PPPBBB,PBBP,BBPBBP,1-2-1
BBPBBP,BBPBB,PBBBBB,2-1-2
BBBPBP,BPPB,PBBPPB,1-2-1
BPPPPP,BPPB,PPBPPP,1-2-1
BBPPPP,BPPB,PPBPPB,1-2-1
PPBPPB,PPBPP,BPBPBP,2-1-2
PPBBPP,BBPBB,PBPBPP,2-1-2
PBBPBP,BPPB,PPBBBP,1-2-1
PPPBPB,PBBP,BBBBPB,1-2-1
PBBPPB,PBBP,BPBBPP,1-2-1
BBBPPP,BPPB,PBBPBB,1-2-1
PPBPPB,PBBP,BBBBBP,1-2-1
BPPPPB,PBBP,BBPBPB,1-2-1
PBPBBB,PBBP,BPBBPP,1-2-1
BPPBPB,PBBP,BBBBPP,1-2-1
PPPPPP,BPPB,PPBPPP,1-2-1
BBPPPP,BBPBB,PBPPBB,2-1-2
PPPBBP,BPPB,PBPBPP,1-2-1
PBPBPP,BBPBB,PBBBPB,2-1-2
PPBBBP,BPPB,PPPBPP,1-2-1
BPPPPB,PBBP,BBBBPB,1-2-1
BPPPPB,PBBP,BBPPPP,1-2-1
BBBBPP,BBPBB,PBPPBP,2-1-2
BBPBBP,BPPB,PBPPPB,1-2-1
BBBBPP,BBPBB,PPPBPB,2-1-2
BPPPBP,BPPB,PBPPPB,1-2-1
BBPPPP,BBPBB,PPBBBB,2-1-2
BBBBBB,PBBP,BBBBPB,1-2-1
BPBBPP,BBPBB,PBBBBB,2-1-2
PBBBPP,BBPBB,PPPBBP,2-1-2
BBBPPP,BPPB,PPBPBB,1-2-1
PPBBPB,PBBP,BBBPBB,1-2-1
BPPBPB,PBBP,BBBBBB,1-2-1
PBBBPB,PBBP,BPPPBB,1-2-1
PBBPPB,PBBP,BBBPBB,1-2-1
PPBBPB,PBBP,BPPPPP,1-2-1
BBBBBB,PBBP,BBBBPB,1-2-1
BPPPPP,BPPB,PBBBBB,1-2-1
BBBBBB,PPBPP,BBBBBP,2-1-2
BPPPBB,PPBPP,BPBBBB,2-1-2
BBPPBB,PPBPP,BBBPPP,2-1-2
BPPPBP,BPPB,PPBPBB,1-2-1
BBBPPB,PBBP,BBBPPP,1-2-1
BBBPPP,BBPBB,PBBPPP,2-1-2
BPBBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPBPP,1-2-1
BBPBBP,BPPB,PBPPPB,1-2-1
BBPPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PPPPBB,2-1-2
BPBPPP,BPPB,PPBBPP,1-2-1
BBBBPB,PBBP,BBBPPB,1-2-1
PBBBPP,BBPBB,PPPBBB,2-1-2
BPPBBP,BPPB,PBBPPP,1-2-1
PPPBPB,PBBP,BBBBPB,1-2-1
BPPPPP,BPPB,PBBPPP,1-2-1
PPBBPB,PBBP,BPBBPP,1-2-1
BBPBBB,PBBP,BBBPPB,1-2-1
BBPBBB,PPBPP,BBPPPB,2-1-2
PBBBBB,PBBP,BPBPPP,1-2-1
BPPBBP,BPPB,PPPPPP,1-2-1
BPBBPP,BBPBB,PPBPBB,2-1-2
PBBPPB,PBBP,BBBPBP,1-2-1
BPPPPP,BBPBB,PPPPBB,2-1-2
PBBBBB,PPBPP,BBPBBB,2-1-2
PBPPPP,BBPBB,PPBBPB,2-1-2
BPPBPB,PBBP,BBBBPP,1-2-1
PBPPPB,PBBP,BPBBBB,1-2-1
