before,chai_khrong,after,type,length
PBBPBB,BPBPBPBP,PPBBPP,ชายโครงแท้,8
PPBBPP,PBPBPB,BBPPBP,ชายโครงแท้,6
BBPPBP,PBPBPB,BBPBBB,ชายโครงแท้,6
PBBPPB,BPBPBP,PBBBBP,ชายโครงแท้,6
P,PBPBPB,BBBBPB,ชายโครงแท้,6
BPBBPP,PBPBPB,BPBB,ชายโครงแท้,6
PBBBBB,BPBPBPBP,PBPPPB,ชายโครงแท้,8
PPBPBB,BPBPBPB,BPBBBP,ชายโครงแท้,7
PBBBBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
PB,BPBPBP,PPPBPP,ชายโครงแท้,6
PPPPBP,PBPBPBP,PPBBBB,ชายโครงแท้,7
PP,PBPBPBP,PPBPPB,ชายโครงแท้,7
PPBPPP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PPBBPP,ชายโครงแท้,6
BBBPBB,BPBPBP,,ชายโครงแท้,6
PPBPBP,PBPBPBP,PBBPPB,ชายโครงแท้,7
BPBBPP,PBPBPB,BBBBBP,ชายโครงแท้,6
BBPPPB,BPBPBP,PBBPBB,ชายโครงแท้,6
BPBPPB,BPBPBPB,BBPPPB,ชายโครงแท้,7
BBPBPB,BPBPBP,PPPBPP,ชายโครงแท้,6
BPPPPB,BPBPBP,PBPBPP,ชายโครงแท้,6
PBBBPB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPPPBP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPPBPP,PBPBPBP,,ชายโครงแท้,7
BPPPBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
PBBPPB,BPBPBP,PBBPBP,ชายโครงแท้,6
BPBPPB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PBPPBB,BPBPBP,PPBBPP,ชายโครงแท้,6
BPPPBB,BPBPBPB,BBBBBB,ชายโครงแท้,7
BBB,BPBPBP,PBPPPP,ชายโครงแท้,6
,PBPBPBPB,BPBBPB,ชายโครงแท้,8
PPBBPB,BPBPBP,PPPBPP,ชายโครงแท้,6
BBPPBP,PBPBPB,BBPBBB,ชายโครงแท้,6
PBBBBP,PBPBPBP,PBBBPB,ชายโครงแท้,7
PBPBBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPB,BBBBPB,ชายโครงแท้,6
BPBBBB,BPBPBP,PPBPPB,ชายโครงแท้,6
BBPPPB,BPBPBP,PPPBPP,ชายโครงแท้,6
PPPPPB,BPBPBP,PBPPBP,ชายโครงแท้,6
,PBPBPBPB,BBPBBP,ชายโครงแท้,8
BBBBPB,BPBPBPBP,PBPPPP,ชายโครงแท้,8
BBBPBP,PBPBPBP,PBPBPP,ชายโครงแท้,7
PPBBBB,BPBPBP,PBBBBB,ชายโครงแท้,6
BBBBPP,PBPBPB,BBBPPB,ชายโครงแท้,6
PBPPBB,BPBPBP,PBBBBB,ชายโครงแท้,6
PBPPBB,BPBPBP,PBPPBB,ชายโครงแท้,6
B,BPBPBPBP,PPPPBP,ชายโครงแท้,8
BBBPPB,BPBPBP,PBBPBP,ชายโครงแท้,6
BBPBBP,PBPBPB,BPBPBB,ชายโครงแท้,6
PBBPBB,BPBPBPBP,PPBPBB,ชายโครงแท้,8
BBBPPP,PBPBPB,BBPPPB,ชายโครงแท้,6
BBPBPB,BPBPBP,PBPBBP,ชายโครงแท้,6
PPPBPP,PBPBPBPBPB,BPPBBB,ชายโครงแท้,10
BPBPPP,PBPBPBP,,ชายโครงแท้,7
BPPPPP,PBPBPBPB,BPBBPB,ชายโครงแท้,8
BPBBPB,BPBPBPB,BPBPBP,ชายโครงแท้,7
PBPBPB,BPBPBPB,BBBPPP,ชายโครงแท้,7
BBBBPP,PBPBPB,BPBPB,ชายโครงแท้,6
PPBPBP,PBPBPB,BBPBPB,ชายโครงแท้,6
BPBPBB,BPBPBP,PPPPBB,ชายโครงแท้,6
BBPP,PBPBPB,BPPBPP,ชายโครงแท้,6
BBBPBP,PBPBPBPB,BPPBBP,ชายโครงแท้,8
PBPP,PBPBPB,BBPBPB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPBPPB,BPBPBP,PPPBBB,ชายโครงแท้,6
BPPPBB,BPBPBPBP,PPPPPP,ชายโครงแท้,8
PPBPPB,BPBPBP,PPPBBB,ชายโครงแท้,6
BBPBPB,BPBPBP,PPPBB,ชายโครงแท้,6
BBBBBP,PBPBPB,BPPBBP,ชายโครงแท้,6
BPBBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
PBPPPP,PBPBPB,BPBP,ชายโครงแท้,6
BBPBBB,BPBPBPB,BPPBPP,ชายโครงแท้,7
BBBPPB,BPBPBP,PPPPBB,ชายโครงแท้,6
BBPPBP,PBPBPBPBPB,BBBBPP,ชายโครงแท้,10
BBPPPB,BPBPBPB,BBPBPP,ชายโครงแท้,7
BPPPPB,BPBPBP,PB,ชายโครงแท้,6
BBBPBP,PBPBPB,BBBPPP,ชายโครงแท้,6
PPPPBB,BPBPBPBPB,BBBPPP,ชายโครงแท้,9
BPB,BPBPBPB,BBBPPB,ชายโครงแท้,7
BBBBPB,BPBPBPB,BPBBBP,ชายโครงแท้,7
BBBPPP,PBPBPBPB,BBBPPP,ชายโครงแท้,8
PBBBPP,PBPBPBP,PBPBPP,ชายโครงแท้,7
BPBBBB,BPBPBPB,BPBPPP,ชายโครงแท้,7
PBPBPP,PBPBPBPB,BPBBPB,ชายโครงแท้,8
BPPPBP,PBPBPB,BBPBBB,ชายโครงแท้,6
PBBBPB,BPBPBPB,BPPBPP,ชายโครงแท้,7
PBBPBB,BPBPBPBPB,BBBBPP,ชายโครงแท้,9
BB,BPBPBP,PPPPBP,ชายโครงแท้,6
BPBBBP,PBPBPBPBP,PPB,ชายโครงแท้,9
BBPBPB,BPBPBPBP,PPBBPB,ชายโครงแท้,8
BBPBBP,PBPBPBPB,BB,ชายโครงแท้,8
BBBPPB,BPBPBP,PPPBPP,ชายโครงแท้,6
BPBPPB,BPBPBPBP,PBPPBB,ชายโครงแท้,8
BBPPBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PPPBBB,BPBPBPBP,PBBPPP,ชายโครงแท้,8
PPPPBB,BPBPBPBPB,BPBPBP,ชายโครงแท้,9
PBPBPB,BPBPBP,PPPBBB,ชายโครงแท้,6
BPBBPB,BPBPBP,PPPBBB,ชายโครงแท้,6
PPBBBB,BPBPBP,PBBPPP,ชายโครงแท้,6
PBBPPP,PBPBPBPBP,PBPPPP,ชายโครงแท้,9
PPPPBP,PBPBPB,BPBBPB,ชายโครงแท้,6
BPBPPB,BPBPBP,PPBBBP,ชายโครงแท้,6
BBBBPP,PBPBPBP,PPBB,ชายโครงแท้,7
PBPPBP,PBPBPBP,PPPPPP,ชายโครงแท้,7
PBPPPB,BPBPBPB,BBPBBB,ชายโครงแท้,7
PBBBBB,BPBPBPB,BBPBPP,ชายโครงแท้,7
PPPPBB,BPBPBPBP,PBBBPP,ชายโครงแท้,8
BBPPBB,BPBPBPBP,PBPBBB,ชายโครงแท้,8
BPPPBB,BPBPBPBP,PBPPPP,ชายโครงแท้,8
PBPPBB,BPBPBP,PPBBBP,ชายโครงแท้,6
PPPPBP,PBPBPBP,PBPPPB,ชายโครงแท้,7
PBPPPB,BPBPBP,PBBBPP,ชายโครงแท้,6
BPBBBP,PBPBPBPBP,PBPBBP,ชายโครงแท้,9
PBBPPB,BPBPBP,PPPBBP,ชายโครงแท้,6
PPPBBP,PBPBPBP,,ชายโครงแท้,7
PPPPPB,BPBPBPBPB,BPPBBB,ชายโครงแท้,9
,PBPBPBPBP,PPPPPP,ชายโครงแท้,9
PPPPPP,PBPBPBPBPB,BPPPPP,ชายโครงแท้,10
PPBBPB,BPBPBP,PPPBBB,ชายโครงแท้,6
PPPPBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBPBP,PBBPPB,ชายโครงแท้,8
PPBPBP,PBPBPB,B,ชายโครงแท้,6
PPPBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
PPBPPB,BPBPBP,PBBPBB,ชายโครงแท้,6
PPBBBB,BPBPBPBPBPB,BPPBBP,ชายโครงแท้,11
BBBPPB,BPBPBPB,BPPPPP,ชายโครงแท้,7
PPPPPP,PBPBPB,BBBPPP,ชายโครงแท้,6
BPBBBB,BPBPBP,PPPP,ชายโครงแท้,6
BPPBPB,BPBPBPBP,PBBBP,ชายโครงแท้,8
BBBPPP,PBPBPB,BPBBBP,ชายโครงแท้,6
PBBPPP,PBPBPBPBP,PBPPBP,ชายโครงแท้,9
BPBBBB,BPBPBP,PPBPBB,ชายโครงแท้,6
PPBBPB,BPBPBPBPB,BBPPPP,ชายโครงแท้,9
BBPPPP,PBPBPB,BPPPBB,ชายโครงแท้,6
BBPBBP,PBPBPBPBP,PBBBPB,ชายโครงแท้,9
PBPPBB,BPBPBP,PBBBPP,ชายโครงแท้,6
BPPPBP,PBPBPBPBP,PPPPPP,ชายโครงแท้,9
PBBPBP,PBPBPBPB,BBPBBP,ชายโครงแท้,8
,BPBPBPB,BPPPPP,ชายโครงแท้,7
BBPBBB,BPBPBPBPBPB,,ชายโครงแท้,11
BBPPBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
BPPBBB,BPBPBP,PPPPPB,ชายโครงแท้,6
PPPBBB,BPBPBPB,BPBPPP,ชายโครงแท้,7
PPPPPB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BPBPB,BPBPBPB,BBPPPB,ชายโครงแท้,7
BBBBPB,BPBPBP,PBPBPP,ชายโครงแท้,6
PBPPBB,BPBPBP,PPBPPP,ชายโครงแท้,6
BBPBBP,PBPBPB,BBBPPB,ชายโครงแท้,6
PPBPPB,BPBPBPB,BPBBPB,ชายโครงแท้,7
BPBBBP,PBPBPB,BPBPPP,ชายโครงแท้,6
PBBBPB,BPBPBP,PBBBPP,ชายโครงแท้,6
BBBPBB,BPBPBPB,BPBBPP,ชายโครงแท้,7
BBPPBB,BPBPBP,PPPPBP,ชายโครงแท้,6
PPBPPP,PBPBPBPB,BBBBPP,ชายโครงแท้,8
PPBBPP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPBBPP,PBPBPB,BPBPPB,ชายโครงแท้,6
,BPBPBPBP,PPPPPP,ชายโครงแท้,8
PPBPBP,PBPBPB,BBBBBB,ชายโครงแท้,6
BBBBBB,BPBPBPB,BPPPBB,ชายโครงแท้,7
BBBPBP,PBPBPBP,PBPBPB,ชายโครงแท้,7
BPBPBP,PBPBPB,,ชายโครงแท้,6
BBBPBB,BPBPBPB,BBPPPB,ชายโครงแท้,7
BBBBBP,PBPBPB,BPBBPP,ชายโครงแท้,6
BPBBPP,PBPBPBPBPB,BPPBPP,ชายโครงแท้,10
BPBBPB,BPBPBP,PBBPPP,ชายโครงแท้,6
BBBPBB,BPBPBP,PBBPPB,ชายโครงแท้,6
BPPBBP,PBPBPBP,PBBBPB,ชายโครงแท้,7
BPPPPP,PBPBPB,BBPBPP,ชายโครงแท้,6
BBPPBP,PBPBPBP,PBBPPP,ชายโครงแท้,7
PPBBBP,PBPBPB,BBPBBB,ชายโครงแท้,6
BPPBPB,BPBPBP,PBP,ชายโครงแท้,6
BPPPPP,PBPBPBP,PBPBPB,ชายโครงแท้,7
BPBPBP,PBPBPB,BPBPB,ชายโครงแท้,6
BBBPPP,PBPBPBPB,BPPPPB,ชายโครงแท้,8
PBPPPP,PBPBPBP,PPPBPB,ชายโครงแท้,7
BPBBPP,PBPBPB,BPBBPB,ชายโครงแท้,6
PPPPBB,BPBPBPB,BBPBBB,ชายโครงแท้,7
BBPBBP,PBPBPB,BBPPBB,ชายโครงแท้,6
BBBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
BBPPPB,BPBPBPBP,PPPBBB,ชายโครงแท้,8
PPPPBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
PBPBBB,BPBPBP,PBBPP,ชายโครงแท้,6
BPPBPP,PBPBPBP,PPBBPB,ชายโครงแท้,7
B,BPBPBP,PBBPBB,ชายโครงแท้,6
PBPPPB,BPBPBPBP,PPBBBP,ชายโครงแท้,8
PPBBBP,PBPBPB,BBBBPP,ชายโครงแท้,6
PPPPPB,BPBPBPBPB,BBBPPB,ชายโครงแท้,9
PBBBPP,PBPBPB,BBBPBP,ชายโครงแท้,6
BBBPBP,PBPBPB,BPBPPP,ชายโครงแท้,6
PPBPPP,PBPBPBP,P,ชายโครงแท้,7
PP,PBPBPBP,PBBBBP,ชายโครงแท้,7
BBBPBP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
PPBPPP,PBPBPBPBP,PBBBPB,ชายโครงแท้,9
BBBPBB,BPBPBP,PBPPPP,ชายโครงแท้,6
PPPBPB,BPBPBP,PPPPBP,ชายโครงแท้,6
BBPPBB,BPBPBPB,BBBBBP,ชายโครงแท้,7
BPPPPP,PBPBPB,BPPB,ชายโครงแท้,6
PPBPB,BPBPBP,PBBBBB,ชายโครงแท้,6
PBPBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
PPBBBB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
BPBPPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
BBBPBB,BPBPBPBPB,BPPPPB,ชายโครงแท้,9
BB,BPBPBP,PBPPPB,ชายโครงแท้,6
BPPBPP,PBPBPBPB,BPPPPP,ชายโครงแท้,8
PPPPPB,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPPBPP,PBPBPBP,PPBBPB,ชายโครงแท้,7
PBPPBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
BPBPBB,BPBPBP,PBPBBP,ชายโครงแท้,6
BPPBPB,BPBPBPB,B,ชายโครงแท้,7
BBBBPB,BPBPBPBPB,BBPPPB,ชายโครงแท้,9
PPPBBP,PBPBPB,BBBBBB,ชายโครงแท้,6
BPPPPP,PBPBPBP,PBBPBB,ชายโครงแท้,7
BPBBBP,PBPBPB,BBPPBP,ชายโครงแท้,6
PBBBBB,BPBPBP,PPPPPB,ชายโครงแท้,6
PBPBPP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPPPBP,PBPBPBPBPBP,PBBPBP,ชายโครงแท้,11
BBBPBB,BPBPBP,PBBBPB,ชายโครงแท้,6
BBBPBB,BPBPBP,PBBB,ชายโครงแท้,6
PBBBBB,BPBPBP,PPBPBB,ชายโครงแท้,6
BBPBBP,PBPBPB,BBBPBB,ชายโครงแท้,6
PBPBPP,PBPBPBPBPB,BPPBBB,ชายโครงแท้,10
PPPPPP,PBPBPB,BBPPPB,ชายโครงแท้,6
BPPPPB,BPBPBPBP,PBBPPB,ชายโครงแท้,8
BB,BPBPBP,PPPBBB,ชายโครงแท้,6
PBBPBP,PBPBPBPB,BPBPPP,ชายโครงแท้,8
,BPBPBPB,BPBBBB,ชายโครงแท้,7
BBBBPP,PBPBPB,BBBBBB,ชายโครงแท้,6
PBBPPP,PBPBPB,BPPPBP,ชายโครงแท้,6
,PBPBPB,BBBBPP,ชายโครงแท้,6
BBPPBP,PBPBPB,BPBPPB,ชายโครงแท้,6
BPBPPB,BPBPBP,PBBPPB,ชายโครงแท้,6
PBPPB,BPBPBP,PPBBPP,ชายโครงแท้,6
PBPPBP,PBPBPBPB,BBPBBB,ชายโครงแท้,8
PPPPPP,PBPBPB,BPPBPB,ชายโครงแท้,6
PPB,BPBPBP,PBPBBB,ชายโครงแท้,6
BPPPBP,PBPBPBP,PPPPBP,ชายโครงแท้,7
BBPBB,BPBPBP,PPBBPP,ชายโครงแท้,6
BBPBPP,PBPBPB,BBPPPP,ชายโครงแท้,6
BPPBBP,PBPBPB,BPBBPB,ชายโครงแท้,6
BBPBPB,BPBPBP,PBBBPP,ชายโครงแท้,6
PP,PBPBPBPB,BPBBPP,ชายโครงแท้,8
PPPPPB,BPBPBP,PPBBPB,ชายโครงแท้,6
BBBBPB,BPBPBP,PBBBBP,ชายโครงแท้,6
PPBPPB,BPBPBPBPBPB,BPPPPB,ชายโครงแท้,11
PPPPBP,PBPBPBP,PPBBPP,ชายโครงแท้,7
BBBPPP,PBPBPBP,PBPBBP,ชายโครงแท้,7
BBPBBB,BPBPBPBPBPBP,PBBBBB,ชายโครงแท้,12
PPBBPB,BPBPBP,PPPPBB,ชายโครงแท้,6
PBPBBP,PBPBPB,BBPPBP,ชายโครงแท้,6
PPB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
PBPPPB,BPBPBPBPB,B,ชายโครงแท้,9
BBBPPB,BPBPBPBPB,BBBBPP,ชายโครงแท้,9
PPBBPP,PBPBPB,BPPB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BBPPPB,ชายโครงแท้,7
BBBPPB,BPBPBPB,BBBBBB,ชายโครงแท้,7
PBPPPP,PBPBPBP,PBPPBB,ชายโครงแท้,7
BBPPPB,BPBPBP,PPPBPB,ชายโครงแท้,6
PPPBPB,BPBPBPBP,PBBBBP,ชายโครงแท้,8
BBPPBB,BPBPBP,PPPB,ชายโครงแท้,6
PPPBPP,PBPBPB,BPPPPP,ชายโครงแท้,6
BBPBPP,PBPBPB,BBBBBB,ชายโครงแท้,6
BBPBBB,BPBPBP,PBBPPP,ชายโครงแท้,6
BBBPP,PBPBPBP,PPPPPP,ชายโครงแท้,7
BBPBBB,BPBPBPB,BBPPPB,ชายโครงแท้,7
PBPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
PPBPPP,PBPBPBPB,BPPBBP,ชายโครงแท้,8
,BPBPBPBPBPB,BPBPBB,ชายโครงแท้,11
BBPBBB,BPBPBP,PPBBBP,ชายโครงแท้,6
PBBBBB,BPBPBPB,BPBPBP,ชายโครงแท้,7
PBPBPB,BPBPBP,PBBPBP,ชายโครงแท้,6
BBBBBB,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPBBPB,BPBPBPBP,PPPBBP,ชายโครงแท้,8
PBPPBP,PBPBPB,B,ชายโครงแท้,6
PBBPBP,PBPBPBP,PPPBPP,ชายโครงแท้,7
BPPBBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
PPBBBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
BBPBPP,PBPBPB,BBPPPP,ชายโครงแท้,6
BPBBPB,BPBPBP,PBPPPP,ชายโครงแท้,6
PBBPBB,BPBPBPB,BBBBPP,ชายโครงแท้,7
BB,BPBPBP,PPBBBB,ชายโครงแท้,6
BBPBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
PP,PBPBPB,BBPPPP,ชายโครงแท้,6
BBBPPP,PBPBPBP,PPPBBP,ชายโครงแท้,7
BPPPPB,BPBPBPB,BBPPBB,ชายโครงแท้,7
PPPBBP,PBPBPBPB,BPPBPP,ชายโครงแท้,8
BBBBBB,BPBPBP,PBBPBP,ชายโครงแท้,6
BPBBBB,BPBPBP,,ชายโครงแท้,6
BBPPBB,BPBPBPB,BBBPBP,ชายโครงแท้,7
BBPBPP,PBPBPBP,P,ชายโครงแท้,7
PPBBPP,PBPBPB,BPPPPB,ชายโครงแท้,6
PBBBBB,BPBPBP,PPPPBB,ชายโครงแท้,6
PPPPBB,BPBPBPB,BBPPBB,ชายโครงแท้,7
BBBPPB,BPBPBPB,BPPB,ชายโครงแท้,7
BPPPPP,PBPBPB,BPBBPP,ชายโครงแท้,6
PBPPBB,BPBPBPBPB,BBPPPP,ชายโครงแท้,9
PBBPBP,PBPBPBPB,BBBBPP,ชายโครงแท้,8
PPPPPP,PBPBPB,BBPPBP,ชายโครงแท้,6
BPBBBB,BPBPBP,PPPPBP,ชายโครงแท้,6
PBBBP,PBPBPB,BPPBBB,ชายโครงแท้,6
BPBBPB,BPBPBPB,BBBBBP,ชายโครงแท้,7
PPBBBP,PBPBPB,BBBPBB,ชายโครงแท้,6
PBBBPB,BPBPBP,PBBPBB,ชายโครงแท้,6
BBPPPB,BPBPBPBPB,BPPBPP,ชายโครงแท้,9
BPPBBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
BPBBBB,BPBPBP,PPPPBB,ชายโครงแท้,6
PPBPPP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PPBPBP,ชายโครงแท้,6
PBPBBB,BPBPBP,PBBBPP,ชายโครงแท้,6
BBPBBP,PBPBPBP,PPBBPB,ชายโครงแท้,7
BBPBBP,PBPBPBP,PBBPBB,ชายโครงแท้,7
BBBPBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
PBPBBP,PBPBPBPBP,PBPPBP,ชายโครงแท้,9
BPPPBB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
BBBBBP,PBPBPBPBPB,BBBBBP,ชายโครงแท้,10
BPBBPP,PBPBPBP,PBBPBP,ชายโครงแท้,7
PBPBBB,BPBPBPBP,PPPPBP,ชายโครงแท้,8
BBPPBB,BPBPBPBPB,BPPBBB,ชายโครงแท้,9
PPBBBP,PBPBPBPBP,PPBPBP,ชายโครงแท้,9
PBPPPB,BPBPBPB,BPPPBP,ชายโครงแท้,7
BPBBPP,PBPBPBP,PPBBPB,ชายโครงแท้,7
PBPPPB,BPBPBPBPB,BBPPPB,ชายโครงแท้,9
BPPBBB,BPBPBPB,BPPBBB,ชายโครงแท้,7
BBBPPB,BPBPBP,PBBBBP,ชายโครงแท้,6
,BPBPBPB,BPPBBB,ชายโครงแท้,7
PBBBBP,PBPBPB,BBBBPB,ชายโครงแท้,6
BPBPPP,PBPBPB,BBPBBB,ชายโครงแท้,6
PPPBPP,PBPBPBPB,BP,ชายโครงแท้,8
BBPPPB,BPBPBPB,BPPBBB,ชายโครงแท้,7
PBPPBP,PBPBPB,BBPPPB,ชายโครงแท้,6
PPBBBB,BPBPBPB,BBBPP,ชายโครงแท้,7
PBBPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
BBPBPB,BPBPBPBPBP,PBPPPB,ชายโครงแท้,10
BPBBBP,PBPBPBP,PBBBPB,ชายโครงแท้,7
PBPPBP,PBPBPBP,PPPPBP,ชายโครงแท้,7
PBBPBP,PBPBPB,BBPBBB,ชายโครงแท้,6
PPBPPP,PBPBPBPBP,PBPBBB,ชายโครงแท้,9
PPBPBB,BPBPBPBP,,ชายโครงแท้,8
PBPPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
PPB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
BBBBBB,BPBPBPB,BBBBPP,ชายโครงแท้,7
PBBBBP,PBPBPB,BBPBPP,ชายโครงแท้,6
BPBBB,BPBPBP,PPBBBP,ชายโครงแท้,6
PP,PBPBPB,BBBBPB,ชายโครงแท้,6
BBPBBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PPBBBB,ชายโครงแท้,6
PPBPBP,PBPBPBPBP,P,ชายโครงแท้,9
PBPPPP,PBPBPBPB,BBBBPP,ชายโครงแท้,8
BBBBBP,PBPBPB,BPPBBP,ชายโครงแท้,6
PBBPPB,BPBPBP,P,ชายโครงแท้,6
BPPPPB,BPBPBPB,BBPPPP,ชายโครงแท้,7
PPBBPB,BPBPBP,PBBPBB,ชายโครงแท้,6
PBBPPB,BPBPBP,PB,ชายโครงแท้,6
PBBBBB,BPBPBP,PBBPPP,ชายโครงแท้,6
PPBBPP,PBPBPB,BPPBBP,ชายโครงแท้,6
BBPBPP,PBPBPBP,PPBPPP,ชายโครงแท้,7
PPPBPP,PBPBPBP,PBPBBP,ชายโครงแท้,7
PPBP,PBPBPB,BBBPBP,ชายโครงแท้,6
PPPBBB,BPBPBP,PPPPBP,ชายโครงแท้,6
BPPPBP,PBPBPBP,PPBPBP,ชายโครงแท้,7
,PBPBPB,BPBBPP,ชายโครงแท้,6
BBBBPB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBP,PPBBBB,ชายโครงแท้,7
BPBPPB,BPBPBPBP,PPBPPB,ชายโครงแท้,8
BBPBBB,BPBPBPBPBPB,B,ชายโครงแท้,11
BPPPBP,PBPBPB,BPBPPP,ชายโครงแท้,6
BBPBBP,PBPBPB,BBPBBP,ชายโครงแท้,6
PBBBBB,BPBPBP,PBPBBB,ชายโครงแท้,6
PBBBBB,BPBPBPB,BBBPPB,ชายโครงแท้,7
PBBBBP,PBPBPB,BBPBPP,ชายโครงแท้,6
BPBPPB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPPB,BPBPBPB,BPBPBB,ชายโครงแท้,7
PBPPPP,PBPBPBPBPBPBPB,BPPBPP,ชายโครงแท้,14
BBPPBB,BPBPBPBPBPB,BPPPPB,ชายโครงแท้,11
BBPBBP,PBPBPBPBP,PBPBBP,ชายโครงแท้,9
PPBPBP,PBPBPBPB,BBPPPP,ชายโครงแท้,8
PPB,BPBPBP,PPPPPP,ชายโครงแท้,6
,BPBPBP,PPPBPP,ชายโครงแท้,6
BBPBPB,BPBPBPB,BPBBPB,ชายโครงแท้,7
B,BPBPBP,PBBBBB,ชายโครงแท้,6
PBBBPP,PBPBPBPB,BBBPPB,ชายโครงแท้,8
PBBBBP,PBPBPB,BBPBBP,ชายโครงแท้,6
PPPPPB,BPBPBPBPB,BPBBPB,ชายโครงแท้,9
BBBPBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
,PBPBPB,BPPBBB,ชายโครงแท้,6
PPBPBB,BPBPBP,PBPP,ชายโครงแท้,6
BBPPPB,BPBPBPB,BPB,ชายโครงแท้,7
BPBPPP,PBPBPB,BBPBPP,ชายโครงแท้,6
PBP,PBPBPBPBP,PPPPBB,ชายโครงแท้,9
PPPPBB,BPBPBPB,BPBPBP,ชายโครงแท้,7
PBPBPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
,PBPBPB,BBPBPP,ชายโครงแท้,6
PPPPPP,PBPBPB,BPPBBP,ชายโครงแท้,6
,BPBPBP,PBBBPB,ชายโครงแท้,6
PBBPBB,BPBPBP,PBBPBP,ชายโครงแท้,6
PBBPPB,BPBPBPBPBPB,BPPP,ชายโครงแท้,11
PPPPBP,PBPBPBP,PBPBPB,ชายโครงแท้,7
BPBPBP,PBPBPBPB,BBPBPB,ชายโครงแท้,8
BBBPPP,PBPBPB,BBPPBP,ชายโครงแท้,6
PPPBBP,PBPBPB,BBPPBB,ชายโครงแท้,6
P,PBPBPB,BPBPBB,ชายโครงแท้,6
PPBPPP,PBPBPB,BBBPBP,ชายโครงแท้,6
PPPPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PBPBBP,PBPBPBP,PBPPBP,ชายโครงแท้,7
PPB,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPBPBB,BPBPBPBPB,BBBBBP,ชายโครงแท้,9
BBBPBP,PBPBPBPB,BPBBBB,ชายโครงแท้,8
BBBP,PBPBPB,BPBBBP,ชายโครงแท้,6
PBBBPP,PBPBPB,BPBPPP,ชายโครงแท้,6
BBPBBB,BPBPBPBPB,B,ชายโครงแท้,9
BBBPPB,BPBPBP,PBBPBB,ชายโครงแท้,6
PBPPBB,BPBPBP,P,ชายโครงแท้,6
BPBBBP,PBPBPB,BPPBPP,ชายโครงแท้,6
PBBPPP,PBPBPB,BBBBBP,ชายโครงแท้,6
PPBPPP,PBPBPBPBP,PBBBPP,ชายโครงแท้,9
PBBPPP,PBPBPB,BBBBPB,ชายโครงแท้,6
BPPPPP,PBPBPB,BPPBPP,ชายโครงแท้,6
PPPBPP,PBPBPBPBP,PPPBBB,ชายโครงแท้,9
PBBPBP,PBPBPB,BBBPPB,ชายโครงแท้,6
PBBBBP,PBPBPBPB,,ชายโครงแท้,8
PBPB,BPBPBP,PBPPPB,ชายโครงแท้,6
