before,pingpong_tie,after,length,tie_position
BPBBPB,BPBPT,BPTPBP,5,37
BBBPTB,BPBPT,BPBBPT,5,40
PPBPPP,PBPBT,BPBPPT,5,27
PBBPBT,BPBPT,BBBBPP,5,30
TBBBPT,BPBPT,PPBPPB,5,22
BPBBBB,BPBPT,PBTPBP,5,40
BTBPPB,BPBPT,BBTBPB,5,31
PBPPBT,PBPBT,BBBPPP,5,41
PBPPBB,BPBPT,PTTPTP,5,29
TPTBPB,BPBPT,PPBBBB,5,22
BTBBPP,BTBTT,BPPTBP,5,24
BBBPPB,PBPBT,PBPBBB,5,35
BPPPPP,PBPBT,BBPPPP,5,18
BBBBTP,PBPBT,PBBPBP,5,38
BPBPPP,PBPBT,BPBPBP,5,30
PBBBBP,PBPBT,TBPBPP,5,49
PBBBPB,TBTBT,BPTBPP,5,38
BTPBBT,TPTPT,PPBBBB,5,44
BBTPPP,PBPBT,BBPBBT,5,37
BBPBPP,PBPBT,BBTPBT,5,26
BTPBTT,BPBPT,BPPBPB,5,38
BTBPBB,PBPBT,PTBTBT,5,34
PBPBTP,TBTBT,TPBTBP,5,40
PBBPBB,PBPBT,PPBBPP,5,45
BPPPBP,PBPBT,PPBBPB,5,15
PPBPPT,PBPBT,PPPPBB,5,40
PBPBPB,BPBPT,PBTBBP,5,26
PBBBPP,PBPBT,PBPBBB,5,35
BBPBBB,TPTPT,TPTPPP,5,27
BPBPBB,BPBPT,TPPBPP,5,23
BTPPBP,PBPBT,TBBPTB,5,50
BPPBTB,BPBPT,PPBPPB,5,17
BPPBBP,PBPBT,PBBPBB,5,49
BBTPTP,BPBPT,TPBPBP,5,23
PBBPPP,BPBPT,PBPBPP,5,41
PPTPPB,BPBPT,BBBPTP,5,46
BBTPTB,BPBPT,BPBTBP,5,26
BPBPBB,BPBPT,BPBBPT,5,31
PPPBBB,PBPBT,PBBPPP,5,12
PPBBBB,BPBPT,PPPBPB,5,49
BPPBBB,PBPBT,BBBPPB,5,19
BPBBBP,BPBPT,TPPBBB,5,41
PPPPPP,BPBPT,BPTBPP,5,33
PTBPPB,PBPBT,BBBPBP,5,45
BPPPPP,PBPBT,PTTBTB,5,26
BPPPBP,PBPBT,TPBBBP,5,18
TBPTPB,PBPBT,PPBBPB,5,28
PBBTBB,BPBPT,BBBBPT,5,11
PPPBPP,BPBPT,BBBBPT,5,10
BBBBBP,PTPTT,BBBPBB,5,40
BBPBBP,BPBPT,BPTPBB,5,17
PPPBPT,PBPBT,BBBPPP,5,34
PBBPPB,PBPBT,BBBBBP,5,49
PTBPBB,PBPBT,BPBBBB,5,25
TPPTPB,BPBPT,BPPTPP,5,15
PBBPBP,PBPBT,PTPTBB,5,45
TPTPTB,BPBPT,BBPPPB,5,55
PBPBBP,BPBPT,BBBBBP,5,29
BPPPBB,PBPBT,PTPBTP,5,44
BBBPPP,PBPBT,PBPPPB,5,33
BBPPBB,TPTPT,PTPPBT,5,24
BTBPBB,BPBPT,BBBBTB,5,18
BBBBBB,PBPBT,PBBBBP,5,38
BBBPPB,PTPTT,PPBPPP,5,11
BPPPPP,BPBPT,PBPPPP,5,14
BBTBPB,BPBPT,BTBTPT,5,27
BBPTTP,BPBPT,BBPPPP,5,18
BPBPBB,BPBPT,TBBTPP,5,36
PBBBPP,BPBPT,PBTTPB,5,49
PPBBBT,PBPBT,PPBPPP,5,40
BTPPBT,BPBPT,PPPPPB,5,28
PPBBPB,TBTBT,PPTBPB,5,30
PPTBPB,BPBPT,BBTPPP,5,41
BBPTBP,PTPTT,PBTPBB,5,13
PPBBBB,PBPBT,BPBBBB,5,17
PPPTPB,PBPBT,PPBTBP,5,27
BPPPTB,BPBPT,PPPPPB,5,27
PPPPPT,BPBPT,BBPBBP,5,29
PPBTBP,PBPBT,TBPTBB,5,36
BBBTBT,BPBPT,PBPPPB,5,31
BPTPBB,BPBPT,BBTPTB,5,11
BBBPTP,PBPBT,PPBTBB,5,33
PPBBBB,BPBPT,BPPPBP,5,40
BBBBTP,PBPBT,BPPBPP,5,29
PBPPPB,BPBPT,BPBPPB,5,18
BBBPBB,BPBPT,PPPPBP,5,36
PBPPBP,PBPBT,PBBPTP,5,16
BBPPBP,PBPBT,PBBBBB,5,45
PBBPTB,BPBPT,PBPBBP,5,41
TPPBBP,TBTBT,BPPPPP,5,31
PPPBPP,BPBPT,PPPTBB,5,45
BBPBPB,BPBPT,BBPPBT,5,19
PPPPBB,TBTBT,TPPPPT,5,37
PBPPBB,PBPBT,PPBTPB,5,35
BPBPBB,BPBPT,BBBBBP,5,49
BTBBBP,BPBPT,PBPPPP,5,16
PBTTBP,PBPBT,PBBPBP,5,26
PPPPTP,PBPBT,BBBBBB,5,43
PBBPBP,PBPBT,BPBPBP,5,20
PPTPBP,BPBPT,BBPBPB,5,23
TPBPPB,PBPBT,PPPBBP,5,34
PPBPTP,BPBPT,BPPBBB,5,15
PPBPPB,PBPBT,BPBPBB,5,33
BPPBPB,PBPBT,PBBBPB,5,28
BPBPBP,PBPBT,BTPPBB,5,49
PBPBPB,BPBPT,BBBPBP,5,37
PBBBBB,PBPBT,BTPBPB,5,44
BPBPBB,BPBPT,BPPBTP,5,32
BPBBPT,PBPBT,PBPBBT,5,46
BBBBTP,PBPBT,PBBBBP,5,14
BBBPTP,BPBPT,TPBPPP,5,36
PBTPBP,BPBPT,PBPPTP,5,35
PPPPPB,PBPBT,PBBBBB,5,44
BBBBPB,PBPBT,BPPPBP,5,10
BPBBBB,PBPBT,BBBBTB,5,40
PPBBPB,PBPBT,PBBPPP,5,39
PBPBBP,BPBPT,PBBPPP,5,38
PTBTPT,PBPBT,PBBPBP,5,10
PPPTPT,PBPBT,TPBBPB,5,27
PBBBPB,PBPBT,PTPTTP,5,45
BPBPBT,PTPTT,PPBBPP,5,50
BPBTBB,PBPBT,TPBBPB,5,15
PBTTPB,BPBPT,PBPBTB,5,23
BBPBPT,PBPBT,BPBBBB,5,28
PBBPPB,BPBPT,BBPBBP,5,33
BBBBBB,PBPBT,BPBPBB,5,46
PPPPPP,PBPBT,BBBTBP,5,19
BBTBPB,PBPBT,BBBBBP,5,31
PTPBTP,PBPBT,BPPPBP,5,47
BBPPPB,BPBPT,PPPBBB,5,43
BPBBBP,BPBPT,BPTBBP,5,10
BBPPBT,BPBPT,BPPBPP,5,51
BBBPTP,PBPBT,BBPPTP,5,33
BPPBPP,PBPBT,BBBPPB,5,40
BBPPTP,PBPBT,PBBBBP,5,24
PBPPBP,PBPBT,TPBPBB,5,19
TPPPPB,BPBPT,PBBPTB,5,10
PPBPBP,BPBPT,PPPBPB,5,47
BBPBBP,PBPBT,PBBBBP,5,21
BBPBBB,PBPBT,BPPPBB,5,10
BPPPPB,PBPBT,TBPBPB,5,42
PBTBBP,BPBPT,BPPPPB,5,26
BPBBBB,BPBPT,PBBPPB,5,30
PPPBTB,PBPBT,BTBPPB,5,48
PPBBTP,PBPBT,PBBPPP,5,23
BBPPPT,BPBPT,BBPPPB,5,35
BPBPPB,BPBPT,PBBBBB,5,20
TPBBBP,BPBPT,PPBBBP,5,28
PPPBPB,PBPBT,BBBPBB,5,13
PPPPBP,PBPBT,BBPPPP,5,26
BBBBBP,BPBPT,PPTPPP,5,34
TBPPPB,PBPBT,PTBBBT,5,17
BBPBBB,TBTBT,BTBBPP,5,37
BPBPPP,PBPBT,TBBPPB,5,49
PTPBBB,PBPBT,PTBBBP,5,13
PTBBBB,BPBPT,BPBPBP,5,43
BBBTPB,PBPBT,PPBBBB,5,39
BPBPBB,TPTPT,TBBBBB,5,38
TTBBBB,BPBPT,PPPPPP,5,48
TBPPPP,BPBPT,BBTPPP,5,22
BPTBBP,PBPBT,PPBBBB,5,44
PBBPBB,BPBPT,PBBPBP,5,43
BPTPBB,PBPBT,BBBBPP,5,10
PBBPPP,BPBPT,BBBBBP,5,35
BBBPBT,PBPBT,PPPBBB,5,33
BBBBPP,BPBPT,PPPPPP,5,43
PPBBBP,BPBPT,PBPBBP,5,47
BPPPPP,PBPBT,BBTTPB,5,33
PPBBPB,BPBPT,BBBBBB,5,47
BBPPBP,PBPBT,BPPPTP,5,27
PBTBPB,PBPBT,BPBPBP,5,41
BBPPBP,BPBPT,PBBPPP,5,32
PBPTPP,BPBPT,BBBBPP,5,23
PPTPBP,BPBPT,BBBBPP,5,12
BPBPPP,PBPBT,BPTBPP,5,45
PPPPPB,PBPBT,PPTBPB,5,28
BPPPPP,BPBPT,PPPPPB,5,12
BPBBBP,BPBPT,PBBPBB,5,44
PBPPBP,BPBPT,PBBTPB,5,37
TPBBTP,BPBPT,PBPPPP,5,47
PBPPBP,PBPBT,TPPPBB,5,26
BBPBBB,PBPBT,BBBBBB,5,47
PBTBTP,PBPBT,BTBPBB,5,16
BPBPBB,PBPBT,BPTBTB,5,14
BBTPPP,PBPBT,PPPPPB,5,17
BPTPPP,BPBPT,BBBPBB,5,23
BPBBPP,PBPBT,PPBBPB,5,12
TPPBBP,BPBPT,BPPPPB,5,22
PTBPPP,PBPBT,BBBPBB,5,31
BPBBBP,BPBPT,BPPPBP,5,44
BPPBBP,BPBPT,BBPPPB,5,26
TPPTPB,BPBPT,PPPBBB,5,44
BBPBPP,BPBPT,BBPPPP,5,20
BPTPPB,PBPBT,PTTPBB,5,36
PPPBTP,PBPBT,TBPPBB,5,50
BBBBTP,PBPBT,PBBBPP,5,15
BPBBPP,PBPBT,PBPTPP,5,48
PBPPPB,BPBPT,BBBPPP,5,32
PPBBPT,PBPBT,BPPPTT,5,34
BBTTPP,PBPBT,PPBPPB,5,36
PPBPPB,PBPBT,PPPBPP,5,47
PPPPBT,BPBPT,BBPPBP,5,45
PBBPBB,PBPBT,PBBBBB,5,42
PPPPPB,BPBPT,BPPPBB,5,42
PPPPPP,PBPBT,PBTPPB,5,20
BBBBBB,PBPBT,PBBBPB,5,36
BTPBBB,PBPBT,BBBBPT,5,45
TBPTPB,BPBPT,BBPBPP,5,29
PBPPBP,BPBPT,BTBTBP,5,50
PPPBPB,BPBPT,PBBPPP,5,31
PPPPBB,BPBPT,BBBPBP,5,45
PTPPBB,BPBPT,PPPBBP,5,32
PPBBBB,TPTPT,BPTTPP,5,29
PPPBBP,PBPBT,BPPPPT,5,39
BPPBPP,PBPBT,PPBPPT,5,37
BPBBPB,BPBPT,BBPPPB,5,24
PPPBBP,PBPBT,BBBPPB,5,45
BBBBPB,PBPBT,BPPPPP,5,14
PBPPBP,PBPBT,BBBBPB,5,26
BBPPBP,BPBPT,PBBPPP,5,10
TPPBBP,PBPBT,BTBBPT,5,30
PBBPBP,BPBPT,BBPBPP,5,50
PBBBPP,PBPBT,TPBBBP,5,41
PBPBPP,BPBPT,BPPBBP,5,34
BPPBBT,TPTPT,BBBTBP,5,13
PTPBBB,PBPBT,BBBPBP,5,37
BPBTBB,BPBPT,PTTPBT,5,44
PTPPBB,BPBPT,BPPPBB,5,35
BBBPPB,BPBPT,BTBPPB,5,47
PBPBPP,BPBPT,PBPBBB,5,32
PBBBPB,PBPBT,BPBBPB,5,16
PTBBPB,BPBPT,BBTTBP,5,34
BPPBPP,BPBPT,TBBPPB,5,36
BTPPBB,BPBPT,PBBTBP,5,39
BBBBBP,BPBPT,TBBBPB,5,37
BBBPTB,BPBPT,PBBPPB,5,12
PPBBBB,PBPBT,PPBPBT,5,34
PBPBTP,PBPBT,PPBBBP,5,40
PPBTTP,PBPBT,PBTTBB,5,30
BBBPBB,BPBPT,PPTBBP,5,49
PBPBPB,PBPBT,BBPBBP,5,24
BTBPBP,PBPBT,BBBPBT,5,24
PBBBPP,BPBPT,BPPPPB,5,34
TBBPTP,PBPBT,PBPTBP,5,17
BBPPPP,PBPBT,TPPTPB,5,46
PBBBPP,PBPBT,BBBBBB,5,39
BPPPBB,BPBPT,BBTPPP,5,17
BBBPPT,PBPBT,PBPPBB,5,14
PBBBPT,BPBPT,BBBPBP,5,37
PBBPBP,BPBPT,BPBBPB,5,17
BBBPBP,BPBPT,TTPBBT,5,13
BBBPTB,PBPBT,BPBPBB,5,12
BPBPBB,PBPBT,PPBBPB,5,23
PBTPPB,BPBPT,BPTTPB,5,31
BPPBPP,BPBPT,PBBPBB,5,31
PBPPPB,BPBPT,BPBPPP,5,48
PPBBBB,BPBPT,TPBBPT,5,29
PPPBBP,BPBPT,TPPBPB,5,40
PTBBBT,BPBPT,BBPBBP,5,16
PBPPPP,BPBPT,BBBTPB,5,19
BTPBBB,BPBPT,TPTPPB,5,32
BPPTTP,PBPBT,PPBBPP,5,27
BPPPBT,PBPBT,BBBBBP,5,48
BBBBPB,TPTPT,BBPBPT,5,29
TPTPTB,BPBPT,TPBBTP,5,35
BBBPTP,PBPBT,TBPPBB,5,49
TPPBBB,BPBPT,BBPPPB,5,24
PPBBBT,PBPBT,BBPBBP,5,13
BBBBPB,BPBPT,PBPPPB,5,22
PPBBTB,BPBPT,BPBBPP,5,17
BBBBPT,PBPBT,PPBPBP,5,22
BPBPBP,PBPBT,TPPTBB,5,19
TBBPPT,PBPBT,BPPBPB,5,39
PPPTBB,PBPBT,PPPTTT,5,42
BBPPPP,BPBPT,BTBPPP,5,24
PBBPBP,PBPBT,BBBPBP,5,36
BBPBPB,BPBPT,TBTPPP,5,30
BBBPPP,BPBPT,PPPBTB,5,32
PBBPBT,PBPBT,BBBPPP,5,45
PBTBBB,TPTPT,BPPBBP,5,16
TBPBTP,BPBPT,BTPBPB,5,22
TBTPBB,BPBPT,PBPTBB,5,49
BBPPBB,BPBPT,BBPBTP,5,30
BPPPBB,PBPBT,BPPBPP,5,20
PTBBBB,PBPBT,PBBPBB,5,14
PPBBBP,BPBPT,BPBTPP,5,27
TTTPPB,PBPBT,PPBBPT,5,37
PPBTBP,BPBPT,BPPPTB,5,18
PTPBBP,PBPBT,PPPPBP,5,48
PPBTPB,BPBPT,PPTBPB,5,25
PPPBBB,BPBPT,BBPBPP,5,20
BBPBBB,BPBPT,BBBPTP,5,49
BPPPPP,PBPBT,BBBTPB,5,49
BBBPBB,BPBPT,BTPTBT,5,24
PBBBPP,BPBPT,BPTPPB,5,16
TPBBBP,BPBPT,PPBPPP,5,16
BPPPBB,PBPBT,PBBBPP,5,36
BBPPBT,PBPBT,TPPTBT,5,16
TBTPTT,PBPBT,PPBPBP,5,20
PPPPBB,PBPBT,PPBBTP,5,41
PBPPPP,BPBPT,PTPBPB,5,11
BPPTBB,BPBPT,BPBTBP,5,13
PPBTBB,PBPBT,BBBBPT,5,28
PPPTBP,BPBPT,PBPBPB,5,32
BPTPBP,BPBPT,PBTPPP,5,40
PTPBTP,PBPBT,BTTBPB,5,35
BBBBBP,PBPBT,PPBPBP,5,16
BPBTPP,BPBPT,BBPBPT,5,23
BPBPTB,BPBPT,BBPPPB,5,29
BPPBTP,BPBPT,TBPBPB,5,41
PBTBBP,BPBPT,PBBBBP,5,12
PPBBBP,PBPBT,PPPBPP,5,15
BPBBBB,TBTBT,BTBPTP,5,40
PPPPBP,BPBPT,BTPBBB,5,17
BPBBBB,PBPBT,BBPBBB,5,25
BPTBPB,BPBPT,BPPPBP,5,47
BBBPBB,PBPBT,PPBPPP,5,38
BBPTPB,PBPBT,PPBBPB,5,19
BBBBBP,PBPBT,PPPBBP,5,21
BBTPPP,PBPBT,TPPBPB,5,20
PBTTPP,BPBPT,PBBPPB,5,28
BPBBBB,PBPBT,PBPPBP,5,16
PPPBPB,PBPBT,BBBTPB,5,50
BPPBBP,PBPBT,BPBPPB,5,32
BBTPBP,BPBPT,BPPBPB,5,46
BBBPPP,BPBPT,PPBBPB,5,46
BBPBBB,PBPBT,BPPBTB,5,20
BPBPBP,BPBPT,PPPBBP,5,42
PTBBBB,BPBPT,BPPBPP,5,51
PBPBBP,BPBPT,BBBPBB,5,50
PPBBBP,BPBPT,BPPTPB,5,14
BPBBBB,BPBPT,PBPTPP,5,14
BBTPBT,PBPBT,PPBPBB,5,44
BPPBPB,PBPBT,TBBPBP,5,25
TPBTBB,PBPBT,PBPPBB,5,39
PPPBBP,BPBPT,PPBBBB,5,33
PTBBBP,PBPBT,BBBPBP,5,47
TPPPTB,PBPBT,PBPPBT,5,34
BTPBBP,PBPBT,PBBPPP,5,30
BPPPTB,TPTPT,PPBPPB,5,11
BBBPBP,BPBPT,PBPPPB,5,45
BPBPPB,BPBPT,PPBPPB,5,13
PBTBBB,PBPBT,BPPBPB,5,10
PPPPBP,BPBPT,BTBPBP,5,35
PPBPBP,BPBPT,PTBBPB,5,51
PBPPPP,BPBPT,BBPBBB,5,24
BBPPPP,PBPBT,BPTBTB,5,48
BPTPPB,PBPBT,BPPBBT,5,20
BBTPBB,PBPBT,PPBBBP,5,45
PPBBPP,BPBPT,PPBPBP,5,32
PPBPBP,PBPBT,PPBBBB,5,43
BBPBPP,PBPBT,PTBBPB,5,12
BBBPPB,BPBPT,BPBPPB,5,20
TBPBPP,BPBPT,BPPTBP,5,30
BBPBPB,BPBPT,TPBPBB,5,24
PBPBBB,PBPBT,BBBPPB,5,39
PPBPPP,BPBPT,BBBBPB,5,40
TBBBBP,BPBPT,BBPPPP,5,50
BBPBBB,BPBPT,TPBBPP,5,21
TPPPPB,BPBPT,BPPPBB,5,15
BBPBBB,PTPTT,PBPBPP,5,37
PBBPBB,BPBPT,BBBPPB,5,21
PPBPTP,PBPBT,BPBPBP,5,46
PBBTBB,BPBPT,BBPPBP,5,39
BBBPPP,PBPBT,PBPBBT,5,40
BPPBBB,BPBPT,BBPPBB,5,51
BBPBTP,BPBPT,TPPTPP,5,46
BBPTBP,PBPBT,PBBBBP,5,44
TBBPPB,BPBPT,BPPBBB,5,47
PBTPPB,BPBPT,BBPBBP,5,26
BPTBBP,BPBPT,BPBPTP,5,24
PBPBPT,BPBPT,PPPPPP,5,29
PPPBPP,PBPBT,TTPBBP,5,44
BBBBPB,BPBPT,BPBBPP,5,42
PBBBPB,PBPBT,TPPPPP,5,51
PBPPPB,PBPBT,BPPBTB,5,31
BBPBTB,BPBPT,PTTBPT,5,24
BPBPPB,BPBPT,BPBPPP,5,35
PPBPBB,PBPBT,PBPTPP,5,26
BBPPPP,BPBPT,TBBPTP,5,30
BBBPBB,PBPBT,BBPPPP,5,33
BPPTPP,BPBPT,PBPTPP,5,38
BBPBBP,PBPBT,PTBBPB,5,32
TPPPBP,BPBPT,BPPTBB,5,44
BTBBTB,BPBPT,PBPPBB,5,44
BTPPBB,BPBPT,BTPBBB,5,19
TBBBTP,BPBPT,PBBPBP,5,16
PBPBPP,BPBPT,PPBPBB,5,38
PBBPBB,BPBPT,BBPPBP,5,24
BPBPBB,BPBPT,PBBBPB,5,33
PBTPBP,PBPBT,PBBPBP,5,23
BPBTPB,BPBPT,BPPTPB,5,30
TPBBPP,BPBPT,BPBPBP,5,44
PBPTBP,BPBPT,PPPPPT,5,51
BBBBPP,PBPBT,BPBPPP,5,36
PPBBBB,PTPTT,BBBPBB,5,25
TPBTPP,BPBPT,TBBBBB,5,29
PPBPBB,BPBPT,PPPBTP,5,48
BBBPTB,BPBPT,PTBBBP,5,35
BBBBBP,BPBPT,TPBBBT,5,35
PBPBBB,PBPBT,PBPPPB,5,40
BBBPPP,PBPBT,PPPPPT,5,46
PBBPBT,PBPBT,BPPBPP,5,14
PBBBBP,PBPBT,PPBBBP,5,33
BTBPBP,BPBPT,BPPBPB,5,44
PPBBBP,PBPBT,BPBBPB,5,33
PBTBPB,BPBPT,PBPPPP,5,41
PPBTPP,BPBPT,BPBPPB,5,17
BBTPBB,BPBPT,PBPPBP,5,12
PBPPPP,PBPBT,PBBPPB,5,34
BPBBTP,TBTBT,BPPBBP,5,21
BPPBPP,BPBPT,PBBTPB,5,45
BPTBBB,BPBPT,PPBBBP,5,47
BBPTPB,PBPBT,BBBPBT,5,17
PPBPBB,PBPBT,BPBTBP,5,14
PPPPPP,PBPBT,PPPBTB,5,39
PBPPTP,PBPBT,BBPBBB,5,46
PBPPPP,TBTBT,TTBBBB,5,24
BPPPPB,BPBPT,BBBTBP,5,10
BBPPBB,BPBPT,BBBPPB,5,14
PBBPBP,BPBPT,TPPBBP,5,16
PBBBBP,BPBPT,BPPBPT,5,17
PPTPPB,BPBPT,TPBBBB,5,10
BBBPBB,BPBPT,BPBPPB,5,44
BTPBBT,BPBPT,BBTPPT,5,14
PPPPPB,PBPBT,BPBPPB,5,20
PBPPBB,BPBPT,PBPBBP,5,32
BPBBBB,PBPBT,BBBBBB,5,25
PBBPPT,PBPBT,PBPPBB,5,12
BBBPBP,PBPBT,BBBPPB,5,44
PBBBBB,BPBPT,BBPTBP,5,11
PBPBBB,PBPBT,BPPBPB,5,30
TBBBBP,PBPBT,BPPBBT,5,18
BPBPBP,PBPBT,TTPBTP,5,43
BBBBBB,PBPBT,BPBBBB,5,41
BPBBTP,BTBTT,BBBBBP,5,48
BBPBTB,PBPBT,PBPBBB,5,45
BPBBPB,BPBPT,PPBBBB,5,37
PPBTTP,PBPBT,PPBPPT,5,18
BPPBTP,PBPBT,BBPBBP,5,23
BBTBPP,PBPBT,BBPBBB,5,44
PBBPPB,BPBPT,PBBBPB,5,19
BBPPBB,PBPBT,PPPBPP,5,22
PBPBPB,PBPBT,PPTPBB,5,48
BBBPPP,PBPBT,PPBBTP,5,53
BTPBBP,BPBPT,PPBBTB,5,38
PPTBBT,BPBPT,PBBBPB,5,14
PBPBBP,BPBPT,BBPPPT,5,22
BTBPPP,PBPBT,PBPTTB,5,19
PPPPPP,PBPBT,BPBBPB,5,39
PTBBPP,BPBPT,PPBTBP,5,39
PBTBPB,PBPBT,PPBTPP,5,51
BBPBBP,BPBPT,BBBBPB,5,45
PBBPPB,TBTBT,BPPBBP,5,25
BPBBPP,BPBPT,PBPBTB,5,22
PBPBPT,PBPBT,BTPPPB,5,27
BPBBBB,BPBPT,BBPPPB,5,17
BBBTPT,PBPBT,PPBBPP,5,48
BPBBBP,PBPBT,PBTBBB,5,27
PBTBBB,PBPBT,BPBBPP,5,17
PPBPBB,PBPBT,PTBPPP,5,16
BPPTBP,BPBPT,BPPTTP,5,36
PBPPPP,BPBPT,BBPPTP,5,16
PBBPBB,PBPBT,BBBBPP,5,26
PPPBPP,PBPBT,PPBPPB,5,22
BPBBBP,PBPBT,PBPPBP,5,15
BBBPBB,PBPBT,BPPBBB,5,22
BBBPBP,PBPBT,PPBBTB,5,15
BPBPBB,BPBPT,BPBBPB,5,33
BBPBPB,BPBPT,PPBBBB,5,46
TBTBPB,PBPBT,PPBBPP,5,32
TBTBPP,BPBPT,PBPPPB,5,20
BBBBPP,PBPBT,PBBTPB,5,41
PBPBBP,BPBPT,BBBTBB,5,14
BPPPBP,BPBPT,BPBPBB,5,39
PPBBPB,BPBPT,BPBPPB,5,32
BBBPPP,BPBPT,TPBBBP,5,46
BPPPPB,BPBPT,BBPBPP,5,34
BPPBBT,PBPBT,BBBBPP,5,27
TBBBBP,PBPBT,BBBPPP,5,37
BTTPTB,PBPBT,TTBBPP,5,43
BBPPTP,PBPBT,TBTPBP,5,27
BBPBBB,BPBPT,PBTBPB,5,32
BPBPBP,BPBPT,BPTPPB,5,28
PPTBPB,BPBPT,BBPBPP,5,43
PPBBPB,PBPBT,PPBPBB,5,15
PBPPBB,PBPBT,PBPPTB,5,26
BBPPPB,BPBPT,PBBPBB,5,22
BBTPBB,BPBPT,TPBPBP,5,43
BPTBBP,BPBPT,BTBBPB,5,11
PPBBPB,BPBPT,BTBBPB,5,26
PPBPPB,PBPBT,PBTPTP,5,35
BPBTPB,TPTPT,BBBBBP,5,42
BPPBPB,PBPBT,BPBBBP,5,35
BPBPBB,BPBPT,PPTPBB,5,19
BTPPPT,PBPBT,PBPPBP,5,16
PBPPBP,PBPBT,BBPBTB,5,37
PBBBPB,BPBPT,PTTPPT,5,23
BPBPPP,BPBPT,BPPBPT,5,35
BTPBBP,BPBPT,BBBBPP,5,42
PPPPTB,PBPBT,BBPPBP,5,41
PBPBBP,PBPBT,TBBBBB,5,16
PBTPBT,BPBPT,PBTBBP,5,42
PBBTBP,BPBPT,PBBBPB,5,18
PBPBBP,PBPBT,BBBBBP,5,27
BPPTPB,PBPBT,BBBPBB,5,11
PPBPPP,PBPBT,PPBPBB,5,10
BTBBPB,BPBPT,BBPBBB,5,42
TBBPTB,PBPBT,PBBBBB,5,30
BBPBTB,BPBPT,BPTPPB,5,45
PPBPPB,PBPBT,PPBPPB,5,17
TPPBBP,BPBPT,PPBPTP,5,45
PPPBPB,PBPBT,BBPPPP,5,36
PBBTPP,BPBPT,BTBPBB,5,27
PTBPBP,PBPBT,PBBBPB,5,32
PBBBBP,PBPBT,PBBBBB,5,45
BPPPPB,BPBPT,BBTBBP,5,10
PBTBPP,BPBPT,PBBBPB,5,28
BPTPBB,BPBPT,PTPPBP,5,36
BBPBPB,PBPBT,PBBBPP,5,31
BPBPPP,BPBPT,BBPPBP,5,21
BPTBBP,PBPBT,PPPBPB,5,29
BPTPPB,BPBPT,PBPBBP,5,12
PTPBPP,PBPBT,PPPBPB,5,25
PBBTBP,PBPBT,BBPPBB,5,47
PBBBPB,BPBPT,PPPPPB,5,22
BPBPBB,BPBPT,PBPPBP,5,20
PBPBPP,PBPBT,PTBBPB,5,50
PBBBPP,PBPBT,PPPBBB,5,44
BBBBPP,PBPBT,BPBTBB,5,44
BPBBBP,PBPBT,PBPPPP,5,19
PPBBTB,PBPBT,PPBPBB,5,37
BBBBPP,BPBPT,BTBPPB,5,14
BPPBPT,BPBPT,BPPPBP,5,27
BPPBPP,PBPBT,BBPPBP,5,46
BPPPPP,PBPBT,BBPBPP,5,33
TBBPBP,PBPBT,PPBPPP,5,43
BPPBTB,PBPBT,PPPTBB,5,30
PBPPBP,BPBPT,TBPBBP,5,25
TPBPBP,PBPBT,PBPBBB,5,31
BBPBPB,BPBPT,BPPBBP,5,39
PPBBBB,PBPBT,BPBPPB,5,39
BBPBPP,PBPBT,PBBPBB,5,13
BBPBPB,PBPBT,PBBBPP,5,25
BTPPPB,TBTBT,TBBPPP,5,49
BBBPBB,PBPBT,BBBBPB,5,32
PPTPTP,BPBPT,BTPPBB,5,51
PBTPBP,TBTBT,PBBPTB,5,40
PPBPTP,BPBPT,BPTBBP,5,27
TBBBBP,BPBPT,PBPPBP,5,22
BPBPBP,PBPBT,BPPBPT,5,33
BBBTBB,PBPBT,BBPBPT,5,36
PPPBTB,BPBPT,PBPBBP,5,47
PBBBPB,BPBPT,TPPBPB,5,23
PPBPPB,PBPBT,TPPTBP,5,39
TPPBTP,PBPBT,BTBBBP,5,36
BPPBBB,TPTPT,TPBPBB,5,46
PBPBPB,BPBPT,TBBPBP,5,16
PPBTBP,PBPBT,PPPBBT,5,15
BPTPPP,PBPBT,BTPTPP,5,43
BPPBPB,BPBPT,TPPBBT,5,13
PBPBPB,BPBPT,BBBBPP,5,20
PBBBBP,BPBPT,BBTPPP,5,50
PBBPPB,PBPBT,BPBPPP,5,36
PBPPPP,BPBPT,PBPPPB,5,21
PBPPBB,TBTBT,BTBPBB,5,39
PBTPPP,BTBTT,PBPPBT,5,34
PTPBPB,BPBPT,PBPPBB,5,21
PBPBPB,PBPBT,PBTBPB,5,40
PPTPBT,PBPBT,PBPBBP,5,46
BPPBTB,BPBPT,BPBBPP,5,35
BPBBBP,BPBPT,PPBPBB,5,10
BPPPBP,PBPBT,PPBBBB,5,15
BPBPBP,BPBPT,PBBBPP,5,46
TPPPBT,PBPBT,BBTBPB,5,22
PPPBBB,BPBPT,BBPPTP,5,22
BBBBPB,BPBPT,BPPBBB,5,33
PBTTPP,BPBPT,BPPBPT,5,18
BPBBBP,BPBPT,BBPBBB,5,13
PPPBPP,BPBPT,PPBBPP,5,36
PBPBPP,BPBPT,BTPBBT,5,44
PBBPBB,PBPBT,BTPPBT,5,30
