before,pingpong_tie,after,length,tie_position
PBBBBB,PBPBT,TBPBPB,5,19
BPPPPP,BPBPT,BBBPPB,5,12
BPBPBP,BPBPT,BPTBPT,5,14
PPPPPP,PBPBT,TPTPBB,5,32
PPPPTB,PBPBT,BPPPPP,5,50
TTPPPP,BPBPT,BBPBPP,5,25
PBBBTP,BPBPT,PBTPPB,5,37
PBBBPP,PBPBT,BPTTBP,5,19
PBBPPT,BPBPT,PBBBPB,5,54
PPPTPP,TBTBT,PPPBBB,5,39
PBBPBB,PBPBT,BBPPPP,5,34
TTBTPP,PBPBT,PTBTTB,5,19
BBPTPP,PBPBT,PTBPBP,5,11
PBTPTB,PBPBT,PBPTPP,5,19
PBPTPP,PBPBT,PBBPPB,5,30
BBBPPP,BPBPT,BPBBBT,5,18
PBPPBB,BPBPT,PPBBBB,5,54
PBBTPP,BPBPT,PBPBBB,5,33
BPBPBB,PBPBT,BBPBPP,5,13
PPPPPB,BPBPT,PPPPPP,5,16
PPPPPP,PBPBT,BBPTBB,5,28
BBBPPB,PBPBT,TBBBBT,5,20
BBBBPT,PBPBT,PBTPBP,5,18
PBPPBP,PBPBT,PPBBTP,5,16
PPTPPP,PBPBT,TBPBPB,5,49
PPBBBP,BPBPT,PBBPBP,5,24
TBBBBB,PBPBT,PPBPBP,5,23
BPPBBT,PBPBT,BPTBBB,5,27
PTBBBB,PBPBT,TPBPBB,5,15
PPBBBP,PBPBT,BBTBPB,5,37
BTPPBB,BPBPT,BBPBPB,5,62
PBPTBB,PBPBT,PTBPBP,5,69
BPPPPP,PBPBT,PPBPBP,5,26
PTBPPB,BPBPT,PPBBPP,5,40
PTBPPB,BPBPT,PPBBPP,5,40
PBTTPP,PBPBT,BPBPPB,5,44
BBTBBP,BPBPT,PBBTBB,5,45
BPTBPP,BPBPT,BPPBPB,5,55
PBTPTB,BPBPT,PPPPPB,5,53
PTPPBP,TPTPT,PBPPBB,5,47
BBPPBP,PBPBT,BPPBPB,5,39
PBBPBP,BPBPT,PBPTTB,5,44
PPPTPB,PBPBT,PPBTBP,5,15
BBPBBB,BPBPT,PBPPTP,5,26
PBPPBP,PBPBT,PPPBTB,5,15
BPPTPB,BPBPT,PPPBBP,5,35
BBPPBT,PBPBT,PPPBTB,5,50
PPPBTP,PBPBT,PTBPBB,5,22
PTPPBP,BPBPT,PBBBBB,5,27
PPTPPP,BPBPT,PPPBPB,5,36
TPPBBB,PBPBT,BPPBBP,5,17
PBPPTB,PBPBT,BPPTTP,5,35
BPBBBB,BPBPT,PBPPTB,5,46
BPPPTP,PBPBT,BTBPTT,5,31
PPBTBP,PBPBT,BBPBPB,5,35
BPBPPB,BPBPT,PBPPPP,5,23
BPPPBB,PBPBT,PBPBBB,5,46
PBPBBB,BPBPT,PBPPBP,5,11
BPPBBP,PBPBT,TPBBPB,5,39
BTPPTB,BPBPT,BPPPPP,5,14
BPBPPB,PBPBT,TPBBBB,5,24
PPPPBT,BPBPT,BBPTBP,5,10
PPPPPP,PBPBT,BBBPBB,5,27
PTPPBP,BPBPT,PBPBPP,5,45
BBPPBP,BPBPT,PBPPBB,5,11
BBBPPP,PBPBT,BPBBBB,5,59
BPPBTP,BPBPT,BPPBPP,5,11
PBPBBB,BPBPT,BTBTPP,5,56
BTBBBB,BPBPT,PPBBPB,5,34
PPBBBB,BPBPT,PPBPBP,5,45
PPPPBP,PBPBT,TPPPBB,5,45
PPTPBP,BPBPT,PPBPBB,5,36
BBTBPB,BPBPT,BPPBBP,5,33
BPPBBP,PBPBT,BBPPBP,5,27
PPPPPP,BPBPT,BBPPPP,5,44
PPPBBB,PBPBT,PPPTBB,5,23
PBPBPB,BPBPT,TBPBBP,5,28
PBPPBP,BPBPT,PPBPBP,5,49
PPBPPP,PBPBT,PPBPBP,5,51
BPBBBT,BPBPT,PPPPTT,5,27
BPBPPB,PBPBT,PBPBPP,5,19
BBBPBB,PBPBT,BBPPPB,5,40
PBPPPT,BPBPT,TBPBBB,5,10
TPTBPB,PBPBT,TBPPBB,5,36
BBBTPP,PBPBT,BBPPBT,5,25
TPPBBP,BPBPT,BBPPPP,5,26
BPBBPT,PBPBT,BBPPPP,5,10
PBPBPB,BPBPT,TPPPPP,5,27
BPPBBB,BPBPT,PBPTPT,5,42
PBBPPB,PBPBT,PPBBBP,5,19
PBTBPP,BPBPT,PBPPBB,5,14
PPBBPB,BPBPT,PPBPPT,5,11
PBBPBB,PBPBT,PBBBBB,5,19
TPBBBB,BPBPT,BBBTBP,5,29
BPPPBB,BPBPT,TBPBPB,5,13
BBTTPP,BPBPT,BPPPPP,5,39
PPPBPB,PBPBT,BTBTBB,5,62
PPPBPP,BPBPT,PBBBPT,5,22
PPBPPB,BPBPT,PPBBTB,5,31
BBBTBB,BPBPT,BPPTPB,5,41
BPBBPP,PBPBT,PPBPBP,5,74
BPPBTB,PBPBT,BPPBPB,5,47
PBBBBP,BPBPT,BPBPPP,5,46
PTPPBB,BTBTT,TBBBPP,5,16
PBBBBB,BPBPT,TTBBPP,5,48
BBPPBT,PBPBT,BPPTTB,5,39
BBBPPB,BPBPT,BPBPTB,5,51
BBPBPT,BPBPT,BBBBBP,5,56
PBBBBP,BPBPT,BBPBBT,5,37
BBPPBB,BPBPT,PBPPTP,5,18
TBBPBB,BPBPT,BBPBBT,5,25
PBPTTB,PBPBT,PBBPBB,5,12
