before,bantai,after,pattern,direction
BBBPPB,PBBPPPPP,BBBPBP,1-2-5,ขึ้น
BPPBPB,PPPPPPPBBP,BBBBBP,7-2-1,ลง
PBBBPB,PPPPPBBBPP,BBPPPB,5-3-2,ลง
BPPBBP,BBBPPB,PPPPPB,3-2-1,ลง
BPBBPP,BBBBPPB,PBBBBP,4-2-1,ลง
PPPPPB,PPPBBP,BPPBBB,3-2-1,ลง
PPPBBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BBBBPP,BBBBBPPPB,PBPBBP,5-3-1,ลง
BBBPBP,BBBBPPB,PBPBPP,4-2-1,ลง
BPBBBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PPBBBB,PPPPBBBPP,BPBBPB,4-3-2,ลง
BBPPBP,BBBBPPB,PPPPPP,4-2-1,ลง
BBBBBP,BPPBBB,PPBPPB,1-2-3,ขึ้น
PBBBPP,BPPBBB,PPBPPB,1-2-3,ขึ้น
BBPPBP,BPPBBB,PBPBBB,1-2-3,ขึ้น
BPPPPB,PPPBBP,BPPBPP,3-2-1,ลง
BPBPPB,PPPPPPPPBBBP,BPBPPB,8-3-1,ลง
PBPPPP,BPPBBBBBB,PBBPBB,1-2-6,ขึ้น
BPPPBP,BPPBBBB,PPPPBP,1-2-4,ขึ้น
BPBPPB,PPPPPPPBBBP,BBBBPP,7-3-1,ลง
BBPPBP,BBBPPB,PPBPBP,3-2-1,ลง
PBPBPB,PPPPPBBBBPPP,BBBBBP,5-4-3,ลง
BPPPBB,PPPBBP,BPBPPB,3-2-1,ลง
PBPPBB,PPBBBBPPPPP,BPPBBP,2-4-5,ขึ้น
BBPBPB,PBBPPP,BPPPPP,1-2-3,ขึ้น
PPBBPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBPPBP,BPPBBBBBB,PPBBPB,1-2-6,ขึ้น
BBBBPB,PBBBPPPPPPP,BBBPBP,1-3-7,ขึ้น
PBPPPB,PBBPPP,BPPPPB,1-2-3,ขึ้น
PPPPBB,PPBBBBPPPPP,BPPBPP,2-4-5,ขึ้น
BPBPPB,PBBBPPPP,BPPPPP,1-3-4,ขึ้น
BBPBBB,PBBPPP,BPBPPB,1-2-3,ขึ้น
BPBPPB,PBBPPPPP,BBPBBB,1-2-5,ขึ้น
BPPPBP,BPPPPBBBBB,PBPBBB,1-4-5,ขึ้น
PPBBBP,BBBPPB,PPBPBB,3-2-1,ลง
