4/12/2024,SA D01,TBTPPPBBPPBPTBBPPPBTPPBBBBBPPBBPTBBBBPBTBTPPBPBPPBPPPBPTBBPP
4/12/2024,SA D01,PBBBPBBBPPBPBPBBBPBTPBBTBPPPBBBTPTBTBPTPPPTBPTPBPBTPBBBB
4/12/2024,SA D01,BBBBBBBBPPBBBTPBBPBBBPBPBPBBPPPBPPPBBPTTBBPPPPBPBTPBBPBPTBPP
4/12/2024,SA D01,BBBBPBBTPPBPBTPPBPTPPTPBPBBBPBPBPBTPPBPPTBBBBBPPPBPPBB
4/12/2024,SA D01,BBBPPPPPPBPPPBBBBBBBTTPPPBBBPBBPPPPPPPTBTTBBPPBBPBPPBBTP
4/12/2024,SA D01,PPPPPPPBBBPPPTTBBPBBBPPPBPPBPBBBBBPTBPBBPPTBTBPPBPPBBPPBP
4/12/2024,SA D01,PPPBBPPPBBBBPBBPPBPBPBTBBBPBBBPTBBBBBBBPTBTBPBBTBPPPPPBPBPBB
4/12/2024,SA D01,PTPPBPTBBPPBBPTPPPPBBPBTPPPBBPBBPBBPBPTPBBBPBPBBBPBBP
4/12/2024,SA D01,BBPTBTBPPBTBPBBPPBBBBPPTPPPPBPBBBPBPPPPTBBPPBBBPBPPTTPBBPBP
4/12/2024,SA D01,PBPPTBPBBBTPBTPPBTTPTTPPPBPBBPPTPPPPPPTPBTPBBBPPBPTPBTBPBB
4/12/2024,SA D01,BBBBBBPBPBBTPBBPPBBBBPPBBPBPPPBPBBPPPBBBBPBBBBBTBBPP
4/12/2024,SA D01,PBBTPPPPPPBPBBBPPBPTBPPBBTTBTPPPTBBPBPBPPPPPPBBBPBPPBPP
4/12/2024,SA D01,PBPBBPPPBTBBPPPBBPPBBPBPPTPBTBBBBBPPBBBPPTTPBBPPPPBTBBBBBPT
4/12/2024,SA D01,BBBPBBBPPBPBPPTPBPBPPPPTPPBBBPBTBBPPPPBBPBPBBBPPBPBBPPBBPPPP
5/12/2024,SA D01,BPBPTPBPBPBBTBBPPBPPBPPBBPTPPBBTPPTBBBBBBPBTBPPBPBTTTBBPBBB
5/12/2024,SA D01,PPPPPPTPPPPTBPPPBBBBPPTBBPBPBTBPTBPBPPTPBBPPBBPBB
5/12/2024,SA D01,TBBBBPPPPBBBBBTBPBPBPPPPBBTBBTPBPPBPPPBPPBTBTBBTBPTTBPPBB
5/12/2024,SA D01,BBPBPBPPPBBBBBBPTTPBPBBBPPTBBBBPBPPBPBBPPBBBPBBPPPTBTPPT
5/12/2024,SA D01,BTBBBPBBPPTTPBPPBBPBPTBPPBTTBBPBBBPBBBPBPPBBBBBBBP
5/12/2024,SA D01,BBBBPPPPTPPPBPPBTPTBTPBPBPPBPBPBBPBBPPBBPBTPPPPPTBBBPPBPTBT
5/12/2024,SA D01,BPBTBBBBPPPBBPBBPPPBPPBBPBPBPBPPTPPPBPPPPPPPBBTBPBPBBPPPBB
