Game_ID,Before,Pattern,After,Full_Sequence
Game_23,PBBBP,BBB,PPBPB,PBBBPBBBPPBPB
Game_24,PBBPP,BBBB,PBPBB,PBBPPBBBBPBPBB
Game_24,BBBPP,BBBB,PPPBP,BBBPPBBBBPPPBP
Game_24,PBBBB,PPP,BPPBP,PBBBBPPPBPPBP
Game_24,PBPPB,PPP,BPPBP,PBPPBPPPBPPBP
Game_24,PPBBP,BBBB,PBPPP,PPBBPBBBBPBPPP
Game_24,BBBPB,PPPP,BPB,BBBPBPPPPBPB
Game_25,PBBPP,BBB,PBPPB,PBBPPBBBPBPPB
Game_25,BPBPP,BBB,PBPBB,BPBPPBBBPBPBB
Game_25,BBPBP,BBBB,PPBPP,BBPBPBBBBPPBPP
Game_26,BPPBP,BBBB,PBBBB,BPPBPBBBBPBBBB
Game_27,PBBPB,PPP,BBBPP,PBBPBPPPBBBPP
Game_27,PBPPP,BBB,PPBPP,PBPPPBBBPPBPP
Game_27,BBPPB,PPP,BBBPB,BBPPBPPPBBBPB
Game_27,PBPPP,BBB,PBBPP,PBPPPBBBPBBPP
Game_27,BBPBB,PPP,BPPBP,BBPBBPPPBPPBP
Game_28,PPBBP,BBB,PPPBP,PPBBPBBBPPPBP
Game_28,BPBBB,PPP,BPBPB,BPBBBPPPBPBPB
Game_28,BPBPP,BBB,PPBPP,BPBPPBBBPPBPP
Game_28,BBPPB,PPPP,BBBBP,BBPPBPPPPBBBBP
Game_28,BPPPP,BBBB,PBBBB,BPPPPBBBBPBBBB
Game_29,BPBBB,PPP,BPBPP,BPBBBPPPBPBPP
Game_29,PPBPB,PPPP,BPPPP,PPBPBPPPPBPPPP
Game_29,PBBPB,PPP,BBPBP,PBBPBPPPBBPBP
Game_29,BPBPB,PPPP,BPBBB,BPBPBPPPPBPBBB
Game_29,PPPBP,BBB,PBPB,PPPBPBBBPBPB
Game_30,PBPPB,PPP,BBBBB,PBPPBPPPBBBBB
Game_30,BBPBP,BBB,PBBBP,BBPBPBBBPBBBP
Game_30,PBBBP,BBB,PBPPB,PBBBPBBBPBPPB
Game_30,BPBPP,BBB,PPBPB,BPBPPBBBPPBPB
Game_31,PPBPB,PPP,BBBBP,PPBPBPPPBBBBP
Game_31,PBPPP,BBBB,PBBBP,PBPPPBBBBPBBBP
Game_31,BBBBP,BBB,PPPBP,BBBBPBBBPPPBP
Game_31,BPBBB,PPP,BPPBP,BPBBBPPPBPPBP
Game_32,BPPPP,BBB,PBBBP,BPPPPBBBPBBBP
Game_32,PBBBP,BBB,PBBBP,PBBBPBBBPBBBP
Game_32,PBBBP,BBB,PPPPB,PBBBPBBBPPPPB
Game_32,BPBBB,PPPP,BBBPP,BPBBBPPPPBBBPP
Game_32,BPPPP,BBB,PPBBB,BPPPPBBBPPBBB
Game_32,BBBBP,BBB,PPPPP,BBBBPBBBPPPPP
Game_33,PPPBP,BBB,PPPBP,PPPBPBBBPPPBP
Game_33,BPBBB,PPP,BPBBB,BPBBBPPPBPBBB
Game_33,PPPBP,BBB,PPBBB,PPPBPBBBPPBBB
Game_33,BBBPP,BBB,PPBPB,BBBPPBBBPPBPB
Game_33,PBBPB,PPPP,BPPPP,PBBPBPPPPBPPPP
Game_33,PPPPB,PPPP,BBPPB,PPPPBPPPPBBPPB
Game_34,PPBPP,BBB,PBBPB,PPBPPBBBPBBPB
Game_34,BPBBP,BBB,PBBBB,BPBBPBBBPBBBB
Game_34,PBBBP,BBBB,PBPBP,PBBBPBBBBPBPBP
Game_35,PPPPB,PPPP,BBBPP,PPPPBPPPPBBBPP
Game_36,PPPPB,PPPP,BPBPB,PPPPBPPPPBPBPB
Game_37,BPPBP,BBB,PBPPP,BPPBPBBBPBPPP
Game_37,BBBPB,PPP,BPPPP,BBBPBPPPBPPPP
Game_37,BPPPB,PPPP,BPPBP,BPPPBPPPPBPPBP
Game_37,PBPPB,PPP,BPPBB,PBPPBPPPBPPBB
Game_37,PPBBP,BBB,PPPPP,PPBBPBBBPPPPP
Game_38,PPBPB,PPP,BBBPB,PPBPBPPPBBBPB
Game_38,PBPPP,BBB,PBBBB,PBPPPBBBPBBBB
Game_38,BPPBB,PPPP,BPPPP,BPPBBPPPPBPPPP
Game_38,PPPPB,PPPP,BPBBP,PPPPBPPPPBPBBP
Game_39,BBBBB,PPPP,BBPPB,BBBBBPPPPBBPPB
Game_39,PBPBP,BBBB,PBBBP,PBPBPBBBBPBBBP
Game_39,BBBPB,PPP,BPPB,BBBPBPPPBPPB
Game_40,PPBBP,BBBB,PPPBB,PPBBPBBBBPPPBB
Game_40,PBBBB,PPP,BBBBB,PBBBBPPPBBBBB
Game_40,BBBBB,PPP,BBBBP,BBBBBPPPBBBBP
Game_40,BBPPP,BBBB,PPPPB,BBPPPBBBBPPPPB
Game_40,PBBBB,PPPP,BBPPB,PBBBBPPPPBBPPB
Game_40,PBBPP,BBB,PBPPP,PBBPPBBBPBPPP
Game_41,PPBBP,BBB,PPBPP,PPBBPBBBPPBPP
Game_41,BPBPP,BBBB,PBP,BPBPPBBBBPBP
Game_42,BPBBP,BBB,PPPPB,BPBBPBBBPPPPB
Game_42,BPBBB,PPPP,BBBBP,BPBBBPPPPBBBBP
Game_42,BPPPP,BBBB,PPPBP,BPPPPBBBBPPPBP
Game_42,PBBBB,PPP,BPPBB,PBBBBPPPBPPBB
Game_42,BPPBB,PPP,BPPPP,BPPBBPPPBPPPP
Game_42,BPPPB,PPPP,BPPBB,BPPPBPPPPBPPBB
Game_43,BPPBP,BBB,PBBPB,BPPBPBBBPBBPB
Game_43,PBPBB,PPP,BPP,PBPBBPPPBPP
Game_44,PBBPP,BBB,PPBPP,PBBPPBBBPPBPP
Game_44,PPBPP,BBBB,PBBBP,PPBPPBBBBPBBBP
Game_44,BBBBP,BBB,PPBPP,BBBBPBBBPPBPP
Game_44,PPPPP,BBB,PP,PPPPPBBBPP
Game_45,PBPBP,BBB,PPPPB,PBPBPBBBPPPPB
Game_45,BPBBB,PPPP,BBPPB,BPBBBPPPPBBPPB
